onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2766534.034864	n02766534_34864	327	327	n/a
40	8	1	2055803.008152	n02055803_8152	158	158	n/a
48	8	1	1944390.018585	n01944390_18585	114	114	n/a
56	8	2	1944390.018585	n01944390_18585	114	114	57.033775
64	8	1	3063599.004360	n03063599_4360	446	446	n/a
72	8	1	4587559.012714	n04587559_12714	1116	1116	n/a
80	8	1	12596148.005651	n12596148_5651	1188	1188	n/a
88	8	1	2432983.018327	n02432983_18327	251	251	n/a
96	8	1	3085219.006529	n03085219_6529	470	470	n/a
104	8	1	3038480.003370	n03038480_3370	438	438	n/a
112	8	1	3187595.017111	n03187595_17111	473	473	n/a
120	8	1	3445777.009793	n03445777_9793	576	576	n/a
128	8	1	4412416.017390	n04412416_17390	1053	1053	n/a
136	8	1	4086273.005433	n04086273_5433	864	864	n/a
144	8	1	4442441.001910	n04442441_1910	1073	1073	n/a
152	8	1	3079230.026890	n03079230_26890	453	453	n/a
160	8	1	1645776.009693	n01645776_9693	23	23	n/a
168	8	1	3544143.007095	n03544143_7095	647	647	n/a
176	8	1	1784675.015243	n01784675_15243	75	75	n/a
184	8	1	4168199.009648	n04168199_9648	910	910	n/a
192	8	1	4070727.023757	n04070727_23757	853	853	n/a
200	8	2	4070727.023757	n04070727_23757	853	853	201.041921
208	8	1	4409806.014144	n04409806_14144	1042	1042	n/a
216	8	2	4409806.014144	n04409806_14144	1042	1042	217.042955
224	8	1	3472535.004645	n03472535_4645	591	591	n/a
232	8	1	2317335.020064	n02317335_20064	220	220	n/a
240	8	1	3815615.012836	n03815615_12836	777	777	n/a
248	8	1	2503517.009095	n02503517_9095	304	304	n/a
256	8	1	3394916.026448	n03394916_26448	531	531	n/a
264	8	1	11978233.042157	n11978233_42157	1176	1176	n/a
272	8	1	2346627.013993	n02346627_13993	227	227	n/a
280	8	1	3837869.008484	n03837869_8484	791	791	n/a
288	8	1	2131653.005107	n02131653_5107	190	190	n/a
296	8	1	4146614.010248	n04146614_10248	889	889	n/a
304	8	1	3496296.014333	n03496296_14333	613	613	n/a
312	8	1	4320973.007391	n04320973_7391	999	999	n/a
320	8	1	3665924.017703	n03665924_17703	713	713	n/a
328	8	1	3607659.005173	n03607659_5173	660	660	n/a
336	8	1	3400231.021509	n03400231_21509	547	547	n/a
344	8	1	4409515.011072	n04409515_11072	1033	1033	n/a
352	8	2	4409515.011072	n04409515_11072	1033	1033	359.035730
360	8	1	13111881.006054	n13111881_6054	1197	1197	n/a
368	8	1	3623556.009879	n03623556_9879	688	688	n/a
376	8	1	4482393.013686	n04482393_13686	1090	1090	n/a
384	8	1	4313503.025193	n04313503_25193	992	992	n/a
392	8	1	3467796.002261	n03467796_2261	577	577	n/a
400	8	1	2374451.018054	n02374451_18054	239	239	n/a
408	8	2	2374451.018054	n02374451_18054	239	239	414.031249
416	8	1	1664990.010648	n01664990_10648	25	25	n/a
424	8	1	3924679.002394	n03924679_2394	811	811	n/a
432	8	1	1726692.031558	n01726692_31558	44	44	n/a
440	8	1	4254680.002701	n04254680_2701	950	950	n/a
448	8	1	3261776.016887	n03261776_16887	498	498	n/a
456	8	1	3642806.027943	n03642806_27943	695	695	n/a
464	8	1	2226429.015538	n02226429_15538	197	197	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
