onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	3255030.0014130007	0.0
40	8	1	2391049.0045689996	0.0
48	8	1	7734017.011666001	0.0
56	8	2	7734017.011666001	57.0380210718
64	8	1	2233338.017205	0.0
72	8	1	3924679.003671	0.0
80	8	1	4477387.003641	0.0
88	8	1	4320973.007391	0.0
96	8	1	1944390.0210650002	0.0
104	8	1	2236241.014526	0.0
112	8	1	2481823.012066	0.0
120	8	2	2481823.012066	121.037648083
128	8	1	3612010.0165279997	0.0
136	8	1	1768244.010258	0.0
144	8	1	3467796.006847	0.0
152	8	1	3623556.0127910003	0.0
160	8	1	4412416.011267	0.0
168	8	1	3445777.0083129997	0.0
176	8	1	3743279.0089760004	0.0
184	8	1	3544143.014057	0.0
192	8	1	3886762.0125680002	0.0
200	8	1	4123740.01078	0.0
208	8	1	2480855.0208650003	0.0
216	8	1	2317335.01431	0.0
224	8	1	3792782.0168169998	0.0
232	8	1	2503517.010053	0.0
240	8	1	3345487.022197	0.0
248	8	1	4070727.0312190005	0.0
256	8	1	3646296.0048080003	0.0
264	8	1	4409515.005752	0.0
272	8	1	3918737.011347	0.0
280	8	1	3496296.0143330004	0.0
288	8	2	3496296.0143330004	289.044084513
296	8	1	4442441.003265	0.0
304	8	1	3607659.006257	0.0
312	8	1	4555897.018677	0.0
320	8	1	2998003.002616	0.0
328	8	1	3483823.006332	0.0
336	8	1	1770393.0180119998	0.0
344	8	1	7758680.017888	0.0
352	8	1	2055803.0098930001	0.0
360	8	1	4409806.0141440015	0.0
368	8	1	3746005.0041980003	0.0
376	8	2	3746005.0041980003	377.04129192
384	8	1	4376876.010606	0.0
392	8	1	12582231.039329	0.0
400	8	1	4086273.028013	0.0
408	8	1	1855672.01531	0.0
416	8	1	4587559.0127139995	0.0
424	8	1	2841315.024352	0.0
432	8	1	2800213.011791	0.0
440	8	1	11978233.026589999	0.0
448	8	1	4113406.021007	0.0
456	8	2	4113406.021007	457.036037458
464	8	1	3209910.005373	0.0
472	6	-2	n/a	0.0
