onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3335030.010544	n03335030_10544	505	505	n/a
40	8	1	1963571.028170	n01963571_28170	126	126	n/a
48	8	2	1963571.028170	n01963571_28170	126	126	49.053344
56	8	1	7756951.014073	n07756951_14073	1154	1154	n/a
64	8	2	7756951.014073	n07756951_14073	1154	1154	65.399686
72	8	1	1726692.008404	n01726692_8404	45	45	n/a
80	8	1	3400231.008108	n03400231_8108	552	552	n/a
88	8	1	4233124.024091	n04233124_24091	944	944	n/a
96	8	1	4090263.013803	n04090263_13803	866	866	n/a
104	8	1	3397947.004284	n03397947_4284	540	540	n/a
112	8	1	2692877.011314	n02692877_11314	314	314	n/a
120	8	1	4168199.010839	n04168199_10839	907	907	n/a
128	8	1	1970164.014781	n01970164_14781	130	130	n/a
136	8	1	2808440.015163	n02808440_15163	362	362	n/a
144	8	1	1518878.012028	n01518878_12028	2	2	n/a
152	8	1	3494278.030876	n03494278_30876	604	604	n/a
160	8	1	13111881.010917	n13111881_10917	1193	1193	n/a
168	8	2	13111881.010917	n13111881_10917	1193	1193	169.087069
176	8	1	3649909.011709	n03649909_11709	706	706	n/a
184	8	2	3649909.011709	n03649909_11709	706	706	185.070172
192	8	1	3512147.005054	n03512147_5054	623	623	n/a
200	8	1	2508213.010059	n02508213_10059	305	305	n/a
208	8	1	1664990.019923	n01664990_19923	30	30	n/a
216	8	1	3063599.004061	n03063599_4061	444	444	n/a
224	8	1	2974003.006740	n02974003_6740	421	421	n/a
232	8	2	2974003.006740	n02974003_6740	421	421	233.050380
240	8	1	4154565.015261	n04154565_15261	900	900	n/a
248	8	1	4591713.002310	n04591713_2310	1122	1122	n/a
256	8	1	3472535.000190	n03472535_190	587	587	n/a
264	8	1	2802215.009364	n02802215_9364	360	360	n/a
272	8	1	2131653.012495	n02131653_12495	186	186	n/a
280	8	1	3950228.032200	n03950228_32200	821	821	n/a
288	8	1	2814860.018911	n02814860_18911	371	371	n/a
296	8	1	1787835.009197	n01787835_9197	88	88	n/a
304	8	1	2054036.007221	n02054036_7221	151	151	n/a
312	8	1	4398044.017494	n04398044_17494	1021	1021	n/a
320	8	1	4272054.048893	n04272054_48893	965	965	n/a
328	8	1	2472293.013453	n02472293_13453	275	275	n/a
336	8	1	2885462.017642	n02885462_17642	404	404	n/a
344	8	1	4146614.009889	n04146614_9889	896	896	n/a
352	8	1	3261776.029363	n03261776_29363	502	502	n/a
360	8	1	3982430.009407	n03982430_9407	832	832	n/a
368	8	1	4009552.008947	n04009552_8947	840	840	n/a
376	8	1	4497801.006187	n04497801_6187	1101	1101	n/a
384	8	1	2766534.010312	n02766534_10312	321	321	n/a
392	8	1	3543603.007440	n03543603_7440	638	638	n/a
400	8	1	3187595.003646	n03187595_3646	474	474	n/a
408	8	1	4284002.010270	n04284002_10270	977	977	n/a
416	8	1	3359137.026112	n03359137_26112	524	524	n/a
424	8	1	2769748.043506	n02769748_43506	335	335	n/a
432	8	1	4442312.016618	n04442312_16618	1069	1069	n/a
440	8	1	4255586.002163	n04255586_2163	954	954	n/a
448	8	1	4482393.013686	n04482393_13686	1090	1090	n/a
456	8	1	1645776.009743	n01645776_9743	24	24	n/a
464	8	1	7734744.006691	n07734744_6691	1150	1150	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
