onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2005790.011191	n02005790_11191	18	138	n/a
40	8	1	4373894.016025	n04373894_16025	126	1001	n/a
48	8	2	4373894.016025	n04373894_16025	126	1001	49.031572
56	8	1	1784675.013237	n01784675_13237	10	73	n/a
64	8	1	4419073.008965	n04419073_8965	133	1064	n/a
72	8	1	4233124.015821	n04233124_15821	118	941	n/a
80	8	1	3792782.013140	n03792782_13140	96	761	n/a
88	8	1	3950228.027533	n03950228_27533	103	820	n/a
96	8	1	2439033.008005	n02439033_8005	33	263	n/a
104	8	1	3209910.005373	n03209910_5373	61	487	n/a
112	8	1	4412416.010353	n04412416_10353	132	1049	n/a
120	8	1	2480855.016790	n02480855_16790	36	284	n/a
128	8	1	3646296.002966	n03646296_2966	88	699	n/a
136	8	2	3646296.002966	n03646296_2966	88	699	137.027614
144	8	1	3400231.013472	n03400231_13472	69	545	n/a
152	8	1	1726692.031558	n01726692_31558	6	44	n/a
160	8	1	13111881.015726	n13111881_15726	150	1195	n/a
168	8	1	3837869.006421	n03837869_6421	99	789	n/a
176	8	1	3760671.009669	n03760671_9669	94	752	n/a
184	8	1	4442441.005096	n04442441_5096	135	1076	n/a
192	8	1	1855672.015900	n01855672_15900	13	104	n/a
200	8	1	2090827.010084	n02090827_10084	23	177	n/a
208	8	1	2943871.010058	n02943871_10058	52	409	n/a
216	8	1	3918737.004580	n03918737_4580	101	807	n/a
224	8	1	4313503.022884	n04313503_22884	124	989	n/a
232	8	2	4313503.022884	n04313503_22884	124	989	233.038434
240	8	1	2445715.015094	n02445715_15094	34	268	n/a
248	8	1	3721384.014643	n03721384_14643	91	721	n/a
256	8	1	2974003.003328	n02974003_3328	53	419	n/a
264	8	1	2055803.009018	n02055803_9018	20	159	n/a
272	8	1	2346627.013993	n02346627_13993	29	227	n/a
280	8	1	11978233.041489	n11978233_41489	147	1175	n/a
288	8	1	2317335.006776	n02317335_6776	28	224	n/a
296	8	2	2317335.006776	n02317335_6776	28	224	297.035997
304	8	1	2882647.013757	n02882647_13757	50	393	n/a
312	8	1	4477387.002204	n04477387_2204	136	1082	n/a
320	8	1	3743279.005689	n03743279_5689	92	734	n/a
328	8	1	2508213.013464	n02508213_13464	39	308	n/a
336	8	2	2508213.013464	n02508213_13464	39	308	337.033675
344	8	1	2843158.009764	n02843158_9764	49	392	n/a
352	8	1	4254680.000043	n04254680_43	119	952	n/a
360	8	1	3886762.014788	n03886762_14788	100	796	n/a
368	8	1	3665924.055985	n03665924_55985	90	719	n/a
376	8	1	3359137.021741	n03359137_21741	66	523	n/a
384	8	1	3345487.015782	n03345487_15782	65	514	n/a
392	8	1	4009552.005313	n04009552_5313	105	838	n/a
400	8	1	4398044.013032	n04398044_13032	128	1018	n/a
408	8	1	2481823.015941	n02481823_15941	37	291	n/a
416	8	1	3746005.004198	n03746005_4198	93	738	n/a
424	8	1	4123740.010780	n04123740_10780	111	881	n/a
432	8	1	2233338.017552	n02233338_17552	26	204	n/a
440	8	1	1645776.010130	n01645776_10130	3	17	n/a
448	8	1	2814860.039856	n02814860_39856	47	376	n/a
456	8	1	3483823.006332	n03483823_6332	75	596	n/a
464	8	1	1970164.012603	n01970164_12603	17	129	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
