onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	4554684.053399	0.0
40	8	1	2416519.012793	0.0
48	8	1	4572121.003262	0.0
56	8	2	4572121.003262	57.0279588499
64	8	1	3495258.009895	0.0
72	8	1	4297750.025624	0.0
80	8	1	2951358.023759	0.0
88	8	1	1621127.019020	0.0
96	8	1	2797295.015411	0.0
104	8	1	4210120.009062	0.0
112	8	1	4387400.016693	0.0
120	8	1	3122295.031279	0.0
128	8	1	1846331.017038	0.0
136	8	1	2190790.015121	0.0
144	8	1	3452741.024622	0.0
152	8	1	1976957.013223	0.0
160	8	2	1976957.013223	161.022697533
168	8	1	2950256.022949	0.0
176	8	2	2950256.022949	177.03901985
184	8	1	3761084.043533	0.0
192	8	1	1943899.024131	0.0
200	8	1	3124170.013920	0.0
208	8	1	3716966.028524	0.0
216	8	2	3716966.028524	217.034965314
224	8	1	3455488.028622	0.0
232	8	1	3954393.010038	0.0
240	8	1	3626115.019498	0.0
248	8	1	1443537.022563	0.0
256	8	1	4533802.019479	0.0
264	8	1	2882301.014188	0.0
272	8	1	2128385.020264	0.0
280	8	2	2128385.020264	281.032729993
288	8	1	3345837.012501	0.0
296	8	1	1858441.011077	0.0
304	8	1	1677366.018182	0.0
312	8	1	2916179.024850	0.0
320	8	1	3237416.058334	0.0
328	8	1	4254777.016338	0.0
336	8	1	2274259.024319	0.0
344	8	1	2437971.005013	0.0
352	8	1	3482252.022530	0.0
360	8	1	3941684.021672	0.0
368	8	1	2071294.046212	0.0
376	8	1	4252077.010859	0.0
384	8	1	3584254.005040	0.0
392	8	1	2139199.010398	0.0
400	8	1	2437136.012836	0.0
408	8	1	3710193.022225	0.0
416	8	1	3064758.038750	0.0
424	8	1	2824058.018729	0.0
432	8	1	2690373.007713	0.0
440	8	1	4507155.021299	0.0
448	8	1	3767745.000109	0.0
456	8	1	3379051.008496	0.0
464	8	1	3272010.011001	0.0
472	6	-2	n/a	0
