onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	3472535.010217	0.0
40	8	1	4409515.008358	0.0
48	8	1	4373894.043971	0.0
56	8	1	4146614.010473	0.0
64	8	1	2843158.009764	0.0
72	8	1	3642806.013072	0.0
80	8	1	7756951.017047	0.0
88	8	1	2131653.010825	0.0
96	8	1	3187595.005735	0.0
104	8	1	1772222.012605	0.0
112	8	1	4272054.038478	0.0
120	8	1	2508213.005695	0.0
128	8	1	3746005.004198	0.0
136	8	1	1784675.022328	0.0
144	8	1	3607659.003955	0.0
152	8	1	12596148.007468	0.0
160	8	1	2439033.017123	0.0
168	8	1	3400231.013472	0.0
176	8	1	3544143.003031	0.0
184	8	2	3544143.003031	185.042658124
192	8	1	4180888.001515	0.0
200	8	1	4255586.000449	0.0
208	8	1	4086273.022571	0.0
216	8	1	2800213.008939	0.0
224	8	1	1770393.021218	0.0
232	8	1	2882647.013757	0.0
240	8	1	4376876.010149	0.0
248	8	1	4090263.024512	0.0
256	8	1	3886762.007939	0.0
264	8	1	2054036.019199	0.0
272	8	1	3918737.027172	0.0
280	8	1	3646296.004808	0.0
288	8	2	3646296.004808	289.045627752
296	8	1	3494278.042246	0.0
304	8	1	3394916.041444	0.0
312	8	1	4225987.013452	0.0
320	8	1	3837869.006421	0.0
328	8	1	4587559.007411	0.0
336	8	2	4587559.007411	337.044694535
344	8	1	3541923.004023	0.0
352	8	1	2391049.007263	0.0
360	8	1	4123740.015423	0.0
368	8	1	2236241.008966	0.0
376	8	1	2432983.016049	0.0
384	8	1	3602883.022505	0.0
392	8	2	3602883.022505	393.051590865
400	8	1	4497801.000760	0.0
408	8	1	3079230.013074	0.0
416	8	1	2226429.011460	0.0
424	8	1	2808440.043249	0.0
432	8	1	2233338.013505	0.0
440	8	1	2841315.035046	0.0
448	8	2	2841315.035046	449.055300227
456	8	1	1768244.009890	0.0
464	8	1	3335030.054164	0.0
472	6	-2	n/a	0
