onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0.0	32.0	1.0	-1	n/a	n/a	n/a	n/a	n/a
32.0	4.0	2.0	1	2797295	n02797295	17	45.481595	2.0
36.0	8.0	2.0	2	2797295	n02797295	17	45.481595	2.0
44.0	3.0	2.0	3	2797295	n02797295	17	45.481595	2.0
47.0	1.0	2.0	4	2797295	n02797295	17	45.481595	2.0
48.0	4.0	3.0	1	2437136	n02437136	14	61.731452	4.0
52.0	8.0	3.0	2	2437136	n02437136	14	61.731452	4.0
60.0	3.0	3.0	3	2437136	n02437136	14	61.731452	4.0
63.0	1.0	3.0	4	2437136	n02437136	14	61.731452	4.0
64.0	4.0	4.0	1	1677366	n01677366	3	78.180608	5.0
68.0	8.0	4.0	2	1677366	n01677366	3	78.180608	5.0
76.0	3.0	4.0	3	1677366	n01677366	3	78.180608	5.0
79.0	1.0	4.0	4	1677366	n01677366	3	78.180608	5.0
80.0	4.0	5.0	1	1621127	n01621127	2	93.299655	4.0
84.0	8.0	5.0	2	1621127	n01621127	2	93.299655	4.0
92.0	3.0	5.0	3	1621127	n01621127	2	93.299655	4.0
95.0	1.0	5.0	4	1621127	n01621127	2	93.299655	4.0
96.0	4.0	6.0	1	2128385	n02128385	9	110.166000	4.0
100.0	8.0	6.0	2	2128385	n02128385	9	110.166000	4.0
108.0	3.0	6.0	3	2128385	n02128385	9	110.166000	4.0
111.0	1.0	6.0	4	2128385	n02128385	9	110.166000	4.0
112.0	4.0	7.0	1	1846331	n01846331	4	125.177113	5.0
116.0	8.0	7.0	2	1846331	n01846331	4	125.177113	5.0
124.0	3.0	7.0	3	1846331	n01846331	4	125.177113	5.0
127.0	1.0	7.0	4	1846331	n01846331	4	125.177113	5.0
128.0	4.0	8.0	1	3122295	n03122295	24	141.747876	3.0
132.0	8.0	8.0	2	3122295	n03122295	24	141.747876	3.0
140.0	3.0	8.0	3	3122295	n03122295	24	141.747876	3.0
143.0	1.0	8.0	4	3122295	n03122295	24	141.747876	3.0
144.0	4.0	9.0	1	2437971	n02437971	15	158.343668	4.0
148.0	8.0	9.0	2	2437971	n02437971	15	158.343668	4.0
156.0	3.0	9.0	3	2437971	n02437971	15	158.343668	4.0
159.0	1.0	9.0	4	2437971	n02437971	15	158.343668	4.0
160.0	4.0	10.0	1	2274259	n02274259	12	174.961812	4.0
164.0	8.0	10.0	2	2274259	n02274259	12	174.961812	4.0
172.0	3.0	10.0	3	2274259	n02274259	12	174.961812	4.0
175.0	1.0	10.0	4	2274259	n02274259	12	174.961812	4.0
176.0	4.0	11.0	1	3124170	n03124170	25	n/a	2.0
180.0	8.0	11.0	2	3124170	n03124170	25	n/a	2.0
188.0	3.0	11.0	3	3124170	n03124170	25	n/a	2.0
191.0	1.0	11.0	4	3124170	n03124170	25	n/a	2.0
192.0	4.0	12.0	1	2690373	n02690373	16	n/a	1.0
196.0	8.0	12.0	2	2690373	n02690373	16	n/a	1.0
204.0	3.0	12.0	3	2690373	n02690373	16	n/a	1.0
207.0	1.0	12.0	4	2690373	n02690373	16	n/a	1.0
208.0	4.0	13.0	1	2916179	n02916179	20	221.623351	2.0
212.0	8.0	13.0	2	2916179	n02916179	20	221.623351	2.0
220.0	3.0	13.0	3	2916179	n02916179	20	221.623351	2.0
223.0	1.0	13.0	4	2916179	n02916179	20	221.623351	2.0
224.0	4.0	14.0	1	2882301	n02882301	19	n/a	2.0
