onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	3085013.023397	0.0
40	8	1	7734017.004117999	0.0
48	8	1	3483823.003411	0.0
56	8	1	3543603.0104239997	0.0
64	8	1	3815615.01745	0.0
72	8	1	3335030.026098	0.0
80	8	1	4442441.007248	0.0
88	8	1	4272054.021408999	0.0
96	8	1	3209910.003841	0.0
104	8	1	12582231.029287	0.0
112	8	1	1772222.01106	0.0
120	8	2	1772222.01106	121.03157810200001
128	8	1	4284002.0209449995	0.0
136	8	1	4168199.01015	0.0
144	8	1	1787835.0103919997	0.0
152	8	1	1645776.008522	0.0
160	8	1	4398044.014381	0.0
168	8	1	4255586.001521	0.0
176	8	1	4197391.018597	0.0
184	8	1	4376876.013235	0.0
192	8	2	4376876.013235	193.028458646
200	8	1	3512147.0050540003	0.0
208	8	1	1664990.010648	0.0
216	8	1	1855672.015809	0.0
224	8	1	3187595.003646	0.0
232	8	1	4419073.013393	0.0
240	8	1	2055803.0054990002	0.0
248	8	1	4587559.013463	0.0
256	8	1	2445715.000834	0.0
264	8	2	2445715.000834	265.125289037
272	8	1	2885462.012304	0.0
280	8	1	3950228.035453	0.0
288	8	1	4442312.010246	0.0
296	8	1	1704323.008767	0.0
304	8	2	1704323.008767	306.288565933
312	8	1	1833805.012155	0.0
320	8	1	3792782.030141	0.0
328	8	1	3494278.0382370003	0.0
336	8	1	2236241.007166	0.0
344	8	1	2317335.0305080004	0.0
352	8	1	2766534.000137	0.0
360	8	1	2346627.012197	0.0
368	8	1	3496296.012686	0.0
376	8	1	4070727.0238269996	0.0
384	8	1	4090263.0063940003	0.0
392	8	1	4412416.011267	0.0
400	8	1	3793489.011217	0.0
408	8	1	1726692.030357	0.0
416	8	1	3607659.0013180003	0.0
424	8	1	4123740.0087059997	0.0
432	8	1	1877134.011538	0.0
440	8	2	1877134.011538	441.033641589
448	8	1	4044716.0195269994	0.0
456	8	1	2054036.021993	0.0
464	8	1	3649909.0195629997	0.0
472	6	-2	n/a	0.0
