onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	3400231.021509	0.0
40	8	1	1645776.009693	0.0
48	8	1	3261776.016887	0.0
56	8	2	3261776.016887	57.0613989905
64	8	1	3496296.014333	0.0
72	8	1	3924679.002394	0.0
80	8	1	1784675.015243	0.0
88	8	1	2317335.020064	0.0
96	8	1	2131653.005107	0.0
104	8	1	3038480.003370	0.0
112	8	1	1726692.031558	0.0
120	8	1	2503517.009095	0.0
128	8	1	3467796.002261	0.0
136	8	1	3544143.007095	0.0
144	8	1	3063599.004360	0.0
152	8	1	4409806.014144	0.0
160	8	1	3837869.008484	0.0
168	8	1	3815615.012836	0.0
176	8	1	3085219.006529	0.0
184	8	1	4482393.013686	0.0
192	8	1	4409515.011072	0.0
200	8	2	4409515.011072	201.040692259
208	8	1	4254680.002701	0.0
216	8	2	4254680.002701	217.039405933
224	8	1	12596148.005651	0.0
232	8	1	3665924.017703	0.0
240	8	1	1944390.018585	0.0
248	8	1	4168199.009648	0.0
256	8	1	4146614.010248	0.0
264	8	1	13111881.006054	0.0
272	8	1	4070727.023757	0.0
280	8	1	4313503.025193	0.0
288	8	1	2346627.013993	0.0
296	8	1	3607659.005173	0.0
304	8	1	3445777.009793	0.0
312	8	1	4412416.017390	0.0
320	8	1	3187595.017111	0.0
328	8	1	4587559.012714	0.0
336	8	1	4086273.005433	0.0
344	8	1	2055803.008152	0.0
352	8	2	2055803.008152	353.038004122
360	8	1	3394916.026448	0.0
368	8	1	2226429.015538	0.0
376	8	1	3623556.009879	0.0
384	8	1	4320973.007391	0.0
392	8	1	3079230.026890	0.0
400	8	1	11978233.042157	0.0
408	8	2	11978233.042157	409.04595491
416	8	1	3472535.004645	0.0
424	8	1	2374451.018054	0.0
432	8	1	4442441.001910	0.0
440	8	1	2766534.034864	0.0
448	8	1	3642806.027943	0.0
456	8	1	1664990.010648	0.0
464	8	1	2432983.018327	0.0
472	6	-2	n/a	0
