onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	4233124.015821	n04233124_15821	941	941	n/a
40	8	2	4233124.015821	n04233124_15821	941	941	41.031183
48	8	1	3743279.007634	n03743279_7634	735	735	n/a
56	8	1	3483823.003411	n03483823_3411	594	594	n/a
64	8	1	4401680.028024	n04401680_28024	1030	1030	n/a
72	8	1	1770393.021218	n01770393_21218	61	61	n/a
80	8	1	3815615.012836	n03815615_12836	777	777	n/a
88	8	1	3079230.026890	n03079230_26890	453	453	n/a
96	8	1	3496296.009005	n03496296_9005	616	616	n/a
104	8	1	3261776.016887	n03261776_16887	498	498	n/a
112	8	1	1963571.011908	n01963571_11908	121	121	n/a
120	8	1	1518878.007346	n01518878_7346	6	6	n/a
128	8	2	1518878.007346	n01518878_7346	6	6	129.042929
136	8	1	3607659.005173	n03607659_5173	660	660	n/a
144	8	1	3400231.024528	n03400231_24528	548	548	n/a
152	8	2	3400231.024528	n03400231_24528	548	548	153.040265
160	8	1	3038480.003370	n03038480_3370	438	438	n/a
168	8	1	1664990.000065	n01664990_65	31	31	n/a
176	8	1	4272054.021409	n04272054_21409	962	962	n/a
184	8	1	4090263.030280	n04090263_30280	869	869	n/a
192	8	1	3760671.012753	n03760671_12753	747	747	n/a
200	8	1	2943871.008123	n02943871_8123	415	415	n/a
208	8	1	2508213.013042	n02508213_13042	307	307	n/a
216	8	1	2885462.019412	n02885462_19412	405	405	n/a
224	8	1	3612010.006564	n03612010_6564	678	678	n/a
232	8	1	2432983.013166	n02432983_13166	249	249	n/a
240	8	1	3541923.004023	n03541923_4023	630	630	n/a
248	8	1	1784675.018607	n01784675_18607	77	77	n/a
256	8	1	1877134.011903	n01877134_11903	110	110	n/a
264	8	1	3394916.019217	n03394916_19217	529	529	n/a
272	8	1	3335030.041867	n03335030_41867	510	510	n/a
280	8	1	3950228.039297	n03950228_39297	824	824	n/a
288	8	1	2391049.002286	n02391049_2286	242	242	n/a
296	8	1	12582231.021170	n12582231_21170	1179	1179	n/a
304	8	1	3646296.002966	n03646296_2966	699	699	n/a
312	8	1	2374451.011539	n02374451_11539	233	233	n/a
320	8	1	2068974.007285	n02068974_7285	168	168	n/a
328	8	2	2068974.007285	n02068974_7285	168	168	329.033543
336	8	1	3837869.009127	n03837869_9127	792	792	n/a
344	8	1	12596148.005651	n12596148_5651	1188	1188	n/a
352	8	1	3792782.005665	n03792782_5665	766	766	n/a
360	8	1	2481823.005715	n02481823_5715	295	295	n/a
368	8	1	13111881.009170	n13111881_9170	1200	1200	n/a
376	8	1	1768244.006450	n01768244_6450	51	51	n/a
384	8	1	3187595.007260	n03187595_7260	477	477	n/a
392	8	1	3345487.015782	n03345487_15782	514	514	n/a
400	8	1	2317335.011408	n02317335_11408	217	217	n/a
408	8	1	2054036.009789	n02054036_9789	152	152	n/a
416	8	1	2472293.046249	n02472293_46249	279	279	n/a
424	8	1	4254680.001190	n04254680_1190	947	947	n/a
432	8	2	4254680.001190	n04254680_1190	947	947	433.176629
440	8	1	3063599.004360	n03063599_4360	446	446	n/a
448	8	1	2882647.018337	n02882647_18337	395	395	n/a
456	8	1	3609235.004886	n03609235_4886	670	670	n/a
464	8	1	3665924.017703	n03665924_17703	713	713	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
