onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	4419073.017022	n04419073_17022	1061	1061	n/a
40	8	1	4044716.007225	n04044716_7225	847	847	n/a
48	8	2	4044716.007225	n04044716_7225	847	847	49.034763
56	8	1	1833805.012155	n01833805_12155	91	91	n/a
64	8	1	4373894.043971	n04373894_43971	1006	1006	n/a
72	8	1	1704323.009812	n01704323_9812	40	40	n/a
80	8	1	1772222.011885	n01772222_11885	67	67	n/a
88	8	1	4146614.010248	n04146614_10248	889	889	n/a
96	8	1	2068974.002736	n02068974_2736	164	164	n/a
104	8	1	4255586.000062	n04255586_62	958	958	n/a
112	8	1	3792782.034550	n03792782_34550	765	765	n/a
120	8	2	3792782.034550	n03792782_34550	765	765	121.030905
128	8	1	2236241.006498	n02236241_6498	213	213	n/a
136	8	1	2974003.008812	n02974003_8812	423	423	n/a
144	8	1	3467796.005384	n03467796_5384	581	581	n/a
152	8	1	12596148.006386	n12596148_6386	1189	1189	n/a
160	8	1	1664990.007133	n01664990_7133	32	32	n/a
168	8	1	3187595.009059	n03187595_9059	478	478	n/a
176	8	1	4070727.023827	n04070727_23827	854	854	n/a
184	8	1	2814860.012908	n02814860_12908	369	369	n/a
192	8	1	7758680.022370	n07758680_22370	1168	1168	n/a
200	8	1	4398044.014381	n04398044_14381	1019	1019	n/a
208	8	1	4376876.010149	n04376876_10149	1009	1009	n/a
216	8	1	3793489.005265	n03793489_5265	774	774	n/a
224	8	1	4225987.012703	n04225987_12703	929	929	n/a
232	8	1	3400231.002908	n03400231_2908	549	549	n/a
240	8	1	2692877.010393	n02692877_10393	313	313	n/a
248	8	1	1877134.011538	n01877134_11538	109	109	n/a
256	8	1	7734744.005146	n07734744_5146	1147	1147	n/a
264	8	1	2808440.043249	n02808440_43249	366	366	n/a
272	8	1	3541923.002849	n03541923_2849	627	627	n/a
280	8	1	2374451.019966	n02374451_19966	240	240	n/a
288	8	1	1639765.047681	n01639765_47681	14	14	n/a
296	8	1	3609235.004455	n03609235_4455	669	669	n/a
304	8	1	2885462.012304	n02885462_12304	401	401	n/a
312	8	1	2439033.008005	n02439033_8005	263	263	n/a
320	8	1	3918737.004580	n03918737_4580	807	807	n/a
328	8	1	4409515.011072	n04409515_11072	1033	1033	n/a
336	8	2	4409515.011072	n04409515_11072	1033	1033	337.036059
344	8	1	7756951.017656	n07756951_17656	1158	1158	n/a
352	8	1	3496296.012686	n03496296_12686	611	611	n/a
360	8	1	3815615.007628	n03815615_7628	783	783	n/a
368	8	1	3436182.001660	n03436182_1660	564	564	n/a
376	8	1	3512147.000023	n03512147_23	618	618	n/a
384	8	1	2084071.014426	n02084071_14426	169	169	n/a
392	8	1	3543603.006861	n03543603_6861	637	637	n/a
400	8	1	3209910.000157	n03209910_157	482	482	n/a
408	8	2	3209910.000157	n03209910_157	482	482	409.031322
416	8	1	2233338.009484	n02233338_9484	208	208	n/a
424	8	1	3612010.004285	n03612010_4285	677	677	n/a
432	8	1	3544143.011110	n03544143_11110	641	641	n/a
440	8	2	3544143.011110	n03544143_11110	641	641	441.030263
448	8	1	2943871.005579	n02943871_5579	413	413	n/a
456	8	1	3345487.007233	n03345487_7233	519	519	n/a
464	8	1	2799175.013505	n02799175_13505	338	338	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
