onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2843158.009764	n02843158_9764	49	392	n/a
40	8	1	7734017.006281	n07734017_6281	143	1142	n/a
48	8	1	2808440.048297	n02808440_48297	46	367	n/a
56	8	2	2808440.048297	n02808440_48297	46	367	57.036502
64	8	1	2055803.007877	n02055803_7877	20	157	n/a
72	8	1	2882647.020395	n02882647_20395	50	396	n/a
80	8	1	3760671.006434	n03760671_6434	94	749	n/a
88	8	1	4070727.009914	n04070727_9914	107	856	n/a
96	8	1	2769748.052896	n02769748_52896	42	336	n/a
104	8	1	2236241.007166	n02236241_7166	27	215	n/a
112	8	1	3079230.020064	n03079230_20064	57	451	n/a
120	8	1	3085013.024313	n03085013_24313	58	463	n/a
128	8	1	1855672.014080	n01855672_14080	13	99	n/a
136	8	1	3359137.041860	n03359137_41860	66	527	n/a
144	8	1	3665924.055985	n03665924_55985	90	719	n/a
152	8	1	3261776.024181	n03261776_24181	63	499	n/a
160	8	1	3425413.016822	n03425413_16822	70	554	n/a
168	8	1	3544143.008694	n03544143_8694	81	648	n/a
176	8	1	4154565.017456	n04154565_17456	113	901	n/a
184	8	1	4086273.003464	n04086273_3464	108	862	n/a
192	8	1	3038480.001066	n03038480_1066	55	433	n/a
200	8	2	3038480.001066	n03038480_1066	55	433	201.027489
208	8	1	4373894.016025	n04373894_16025	126	1001	n/a
216	8	2	4373894.016025	n04373894_16025	126	1001	217.027279
224	8	1	2481823.023004	n02481823_23004	37	294	n/a
232	8	1	2799175.015265	n02799175_15265	43	340	n/a
240	8	1	2084071.028249	n02084071_28249	22	174	n/a
248	8	1	7756951.009462	n07756951_9462	145	1160	n/a
256	8	1	4233124.018339	n04233124_18339	118	943	n/a
264	8	1	4412416.012151	n04412416_12151	132	1051	n/a
272	8	1	2432983.024646	n02432983_24646	32	254	n/a
280	8	1	4168199.010897	n04168199_10897	114	908	n/a
288	8	1	1787835.010128	n01787835_10128	11	81	n/a
296	8	1	2885462.020113	n02885462_20113	51	406	n/a
304	8	1	2508213.003777	n02508213_3777	39	310	n/a
312	8	1	3792782.013140	n03792782_13140	96	761	n/a
320	8	1	3445777.006926	n03445777_6926	72	573	n/a
328	8	1	3400231.013472	n03400231_13472	69	545	n/a
336	8	1	4419073.021368	n04419073_21368	133	1062	n/a
344	8	1	1726692.009090	n01726692_9090	6	48	n/a
352	8	2	1726692.009090	n01726692_9090	6	48	353.037380
360	8	1	3918737.015240	n03918737_15240	101	802	n/a
368	8	1	3394916.047877	n03394916_47877	67	536	n/a
376	8	1	4009552.017201	n04009552_17201	105	836	n/a
384	8	1	3255030.003029	n03255030_3029	62	492	n/a
392	8	1	3982430.026431	n03982430_26431	104	827	n/a
400	8	1	3793489.013628	n03793489_13628	97	771	n/a
408	8	2	3793489.013628	n03793489_13628	97	771	409.032528
416	8	1	4612026.007911	n04612026_7911	142	1136	n/a
424	8	1	3924679.006907	n03924679_6907	102	814	n/a
432	8	1	4146614.006366	n04146614_6366	112	894	n/a
440	8	1	2233338.017552	n02233338_17552	26	204	n/a
448	8	1	3467796.004268	n03467796_4268	73	579	n/a
456	8	1	4197391.015574	n04197391_15574	116	923	n/a
464	8	1	4254680.002701	n04254680_2701	119	950	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
