onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	12	1	7	0.0
44	12	-3	n/a	0
56	12	1	6	0.0
68	12	-3	n/a	0
80	12	2	6	81.1958343303
92	12	-3	n/a	0
104	12	1	3	0.0
116	12	-3	n/a	0
128	12	1	5	0.0
140	12	-3	n/a	0
152	12	1	1	0.0
164	12	-3	n/a	0
176	12	1	9	0.0
188	12	-3	n/a	0
200	12	1	10	0.0
212	12	-3	n/a	0
224	12	1	4	0.0
236	12	-3	n/a	0
248	12	1	8	0.0
260	12	-3	n/a	0
272	12	1	2	0.0
284	12	-3	n/a	0
296	6	-2	n/a	0
