onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	32	1	-1	n/a	n/a	n/a
32.0	4.0	2.0	1.0	15.0	44.7176566441	4.0
36.0	8.0	2.0	2.0	15.0	44.7176566441	4.0
44.0	3.0	2.0	3.0	15.0	44.7176566441	4.0
47.0	1.0	2.0	4.0	15.0	44.7176566441	4.0
48.0	4.0	3.0	1.0	24.0	60.8968219201	4.0
52.0	8.0	3.0	2.0	24.0	60.8968219201	4.0
60.0	3.0	3.0	3.0	24.0	60.8968219201	4.0
63.0	1.0	3.0	4.0	24.0	60.8968219201	4.0
64.0	4.0	4.0	1.0	7.0	76.830105376	4.0
68.0	8.0	4.0	2.0	7.0	76.830105376	4.0
76.0	3.0	4.0	3.0	7.0	76.830105376	4.0
79.0	1.0	4.0	4.0	7.0	76.830105376	4.0
80.0	4.0	5.0	1.0	4.0	93.364543682	5.0
84.0	8.0	5.0	2.0	4.0	93.364543682	5.0
92.0	3.0	5.0	3.0	4.0	93.364543682	5.0
95.0	1.0	5.0	4.0	4.0	93.364543682	5.0
96.0	4.0	6.0	1.0	18.0	109.629517115	4.0
100.0	8.0	6.0	2.0	18.0	109.629517115	4.0
108.0	3.0	6.0	3.0	18.0	109.629517115	4.0
111.0	1.0	6.0	4.0	18.0	109.629517115	4.0
112.0	4.0	7.0	1.0	2.0	125.843712311	5.0
116.0	8.0	7.0	2.0	2.0	125.843712311	5.0
124.0	3.0	7.0	3.0	2.0	125.843712311	5.0
127.0	1.0	7.0	4.0	2.0	125.843712311	5.0
128.0	4.0	8.0	1.0	1.0	141.179415778	5.0
132.0	8.0	8.0	2.0	1.0	141.179415778	5.0
140.0	3.0	8.0	3.0	1.0	141.179415778	5.0
143.0	1.0	8.0	4.0	1.0	141.179415778	5.0
144.0	4.0	9.0	1.0	9.0	156.810408793	3.0
148.0	8.0	9.0	2.0	9.0	156.810408793	3.0
156.0	3.0	9.0	3.0	9.0	156.810408793	3.0
159.0	1.0	9.0	4.0	9.0	156.810408793	3.0
160.0	4.0	10.0	1.0	14.0	173.060211305	5.0
164.0	8.0	10.0	2.0	14.0	173.060211305	5.0
172.0	3.0	10.0	3.0	14.0	173.060211305	5.0
175.0	1.0	10.0	4.0	14.0	173.060211305	5.0
176.0	4.0	11.0	1.0	20.0	188.776719629	4.0
180.0	8.0	11.0	2.0	20.0	188.776719629	4.0
188.0	3.0	11.0	3.0	20.0	188.776719629	4.0
191.0	1.0	11.0	4.0	20.0	188.776719629	4.0
192.0	4.0	12.0	1.0	5.0	205.175230035	4.0
196.0	8.0	12.0	2.0	5.0	205.175230035	4.0
204.0	3.0	12.0	3.0	5.0	205.175230035	4.0
207.0	1.0	12.0	4.0	5.0	205.175230035	4.0
208.0	4.0	13.0	1.0	22.0	221.172812726	3.0
212.0	8.0	13.0	2.0	22.0	221.172812726	3.0
220.0	3.0	13.0	3.0	22.0	221.172812726	3.0
223.0	1.0	13.0	4.0	22.0	221.172812726	3.0
224.0	4.0	14.0	1.0	11.0	238.089820816	3.0
228.0	8.0	14.0	2.0	11.0	238.089820816	3.0
236.0	3.0	14.0	3.0	11.0	238.089820816	3.0
