onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	4146614.007893	n04146614_7893	895	895	n/a
40	8	1	4412416.012151	n04412416_12151	1051	1051	n/a
48	8	1	4376876.010606	n04376876_10606	1010	1010	n/a
56	8	2	4376876.010606	n04376876_10606	1010	1010	57.038395
64	8	1	2998003.003934	n02998003_3934	427	427	n/a
72	8	1	2317335.024617	n02317335_24617	222	222	n/a
80	8	1	1768244.008871	n01768244_8871	54	54	n/a
88	8	1	2802215.004806	n02802215_4806	358	358	n/a
96	8	1	4373894.043971	n04373894_43971	1006	1006	n/a
104	8	1	2236241.001360	n02236241_1360	209	209	n/a
112	8	1	1518878.012028	n01518878_12028	2	2	n/a
120	8	1	4180888.002422	n04180888_2422	915	915	n/a
128	8	1	3607659.008657	n03607659_8657	664	664	n/a
136	8	1	4401680.028024	n04401680_28024	1030	1030	n/a
144	8	1	3649909.010010	n03649909_10010	705	705	n/a
152	8	1	3665924.037592	n03665924_37592	715	715	n/a
160	8	1	4313503.020808	n04313503_20808	987	987	n/a
168	8	1	3085219.008998	n03085219_8998	472	472	n/a
176	8	1	4197391.004733	n04197391_4733	926	926	n/a
184	8	1	2068974.004884	n02068974_4884	166	166	n/a
192	8	1	4442312.011854	n04442312_11854	1066	1066	n/a
200	8	2	4442312.011854	n04442312_11854	1066	1066	201.081909
208	8	1	4612026.010008	n04612026_10008	1129	1129	n/a
216	8	2	4612026.010008	n04612026_10008	1129	1129	217.164641
224	8	1	3837869.004261	n03837869_4261	786	786	n/a
232	8	1	2503517.003324	n02503517_3324	299	299	n/a
240	8	1	3612010.010712	n03612010_10712	673	673	n/a
248	8	1	2814860.030610	n02814860_30610	372	372	n/a
256	8	1	2974003.008115	n02974003_8115	422	422	n/a
264	8	1	2054036.007221	n02054036_7221	151	151	n/a
272	8	1	2885462.009267	n02885462_9267	407	407	n/a
280	8	1	2799175.015265	n02799175_15265	340	340	n/a
288	8	1	3609235.004455	n03609235_4455	669	669	n/a
296	8	1	3483823.015156	n03483823_15156	593	593	n/a
304	8	1	4555897.026505	n04555897_26505	1108	1108	n/a
312	8	1	3950228.039297	n03950228_39297	824	824	n/a
320	8	1	2005790.007527	n02005790_7527	143	143	n/a
328	8	1	3079230.013074	n03079230_13074	449	449	n/a
336	8	1	4419073.011767	n04419073_11767	1058	1058	n/a
344	8	1	1855672.015767	n01855672_15767	102	102	n/a
352	8	2	1855672.015767	n01855672_15767	102	102	353.022657
360	8	1	7756951.015064	n07756951_15064	1155	1155	n/a
368	8	1	1770393.024657	n01770393_24657	62	62	n/a
376	8	1	4009552.007141	n04009552_7141	839	839	n/a
384	8	1	3543603.009964	n03543603_9964	640	640	n/a
392	8	1	3541923.004374	n03541923_4374	631	631	n/a
400	8	1	12582231.024598	n12582231_24598	1180	1180	n/a
408	8	2	12582231.024598	n12582231_24598	1180	1180	409.037721
416	8	1	4168199.009781	n04168199_9781	911	911	n/a
424	8	1	1645776.010758	n01645776_10758	18	18	n/a
432	8	1	3209910.029141	n03209910_29141	485	485	n/a
440	8	1	4090263.024512	n04090263_24512	868	868	n/a
448	8	1	3512147.002038	n03512147_2038	617	617	n/a
456	8	1	7758680.022370	n07758680_22370	1168	1168	n/a
464	8	1	4070727.016664	n04070727_16664	850	850	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
