onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2503517.010053	n02503517_10053	38	297	n/a
40	8	1	4401680.036641	n04401680_36641	129	1032	n/a
48	8	2	4401680.036641	n04401680_36641	129	1032	49.034371
56	8	1	2481823.023004	n02481823_23004	37	294	n/a
64	8	1	3543603.004306	n03543603_4306	80	635	n/a
72	8	1	2843158.005600	n02843158_5600	49	388	n/a
80	8	1	3918737.011347	n03918737_11347	101	801	n/a
88	8	1	3394916.033757	n03394916_33757	67	533	n/a
96	8	1	3612010.006564	n03612010_6564	85	678	n/a
104	8	1	4409806.009916	n04409806_9916	131	1048	n/a
112	8	1	3609235.007270	n03609235_7270	84	671	n/a
120	8	2	3609235.007270	n03609235_7270	84	671	121.031541
128	8	1	4398044.017494	n04398044_17494	128	1021	n/a
136	8	1	2005790.011821	n02005790_11821	18	139	n/a
144	8	1	3790512.014883	n03790512_14883	95	756	n/a
152	8	1	3792782.008413	n03792782_8413	96	768	n/a
160	8	1	3541923.003237	n03541923_3237	79	628	n/a
168	8	1	3721384.006760	n03721384_6760	91	728	n/a
176	8	1	4412416.007597	n04412416_7597	132	1055	n/a
184	8	1	3335030.014253	n03335030_14253	64	506	n/a
192	8	1	3085013.024313	n03085013_24313	58	463	n/a
200	8	1	3496296.014487	n03496296_14487	77	614	n/a
208	8	1	3607659.005173	n03607659_5173	83	660	n/a
216	8	1	4587559.011857	n04587559_11857	140	1115	n/a
224	8	1	2814860.012908	n02814860_12908	47	369	n/a
232	8	1	3950228.018190	n03950228_18190	103	818	n/a
240	8	1	4273569.016391	n04273569_16391	122	972	n/a
248	8	1	4409515.006804	n04409515_6804	130	1039	n/a
256	8	1	3982430.029809	n03982430_29809	104	828	n/a
264	8	1	3079230.026890	n03079230_26890	57	453	n/a
272	8	1	4442441.005660	n04442441_5660	135	1077	n/a
280	8	1	7734744.018574	n07734744_18574	144	1146	n/a
288	8	1	4070727.009914	n04070727_9914	107	856	n/a
296	8	1	4477387.001527	n04477387_1527	136	1081	n/a
304	8	1	3483823.008564	n03483823_8564	75	600	n/a
312	8	1	3837869.007066	n03837869_7066	99	790	n/a
320	8	1	3886762.009466	n03886762_9466	100	800	n/a
328	8	1	3085219.003690	n03085219_3690	59	466	n/a
336	8	2	3085219.003690	n03085219_3690	59	466	337.036360
344	8	1	2841315.012821	n02841315_12821	48	378	n/a
352	8	1	3815615.012836	n03815615_12836	98	777	n/a
360	8	1	2391049.002789	n02391049_2789	31	243	n/a
368	8	1	2346627.022283	n02346627_22283	29	229	n/a
376	8	1	4225987.006665	n04225987_6665	117	934	n/a
384	8	1	1970164.014781	n01970164_14781	17	130	n/a
392	8	1	4180888.004820	n04180888_4820	115	918	n/a
400	8	1	2769748.052896	n02769748_52896	42	336	n/a
408	8	2	2769748.052896	n02769748_52896	42	336	409.033034
416	8	1	2766534.034864	n02766534_34864	41	327	n/a
424	8	1	3743279.004728	n03743279_4728	92	733	n/a
432	8	1	4255586.003274	n04255586_3274	120	955	n/a
440	8	2	4255586.003274	n04255586_3274	120	955	441.031126
448	8	1	2882647.023990	n02882647_23990	50	398	n/a
456	8	1	3649909.016050	n03649909_16050	89	708	n/a
464	8	1	4482393.026587	n04482393_26587	137	1095	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
