onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	3209910.003841	0.0
40	8	1	4320973.014553	0.0
48	8	1	2317335.017604	0.0
56	8	1	13111881.028475	0.0
64	8	1	3612010.0165279997	0.0
72	8	1	7734017.004117999	0.0
80	8	1	4482393.014854	0.0
88	8	1	1645776.010758	0.0
96	8	1	4254680.003842	0.0
104	8	1	3665924.0261580003	0.0
112	8	1	1970164.0232209999	0.0
120	8	2	1970164.0232209999	121.049517312
128	8	1	2998003.002616	0.0
136	8	1	3255030.011168	0.0
144	8	1	3982430.006951	0.0
152	8	1	2692877.011314	0.0
160	8	1	2346627.012197	0.0
168	8	1	3815615.0087559996	0.0
176	8	1	4409806.013419	0.0
184	8	1	7758680.012417999	0.0
192	8	2	7758680.012417999	193.04645883799998
200	8	1	3085013.022686	0.0
208	8	1	3543603.006861	0.0
216	8	1	12582231.02117	0.0
224	8	1	1833805.013294	0.0
232	8	1	4612026.006008	0.0
240	8	1	2802215.0261049997	0.0
248	8	1	1726692.0084040002	0.0
256	8	1	3359137.044522	0.0
264	8	2	3359137.044522	265.127650805
272	8	1	4009552.0172010004	0.0
280	8	1	3436182.01221	0.0
288	8	1	2068974.0072849998	0.0
296	8	1	3496296.010113	0.0
304	8	2	3496296.010113	305.041031807
312	8	1	4070727.018299	0.0
320	8	1	4168199.01015	0.0
328	8	1	3345487.0118650002	0.0
336	8	1	1944390.019503	0.0
344	8	1	1787835.01355	0.0
352	8	1	2480855.008638	0.0
360	8	1	2084071.0144259997	0.0
368	8	1	2374451.015307	0.0
376	8	1	2799175.015265	0.0
384	8	1	3793489.001565	0.0
392	8	1	3743279.0076339995	0.0
400	8	1	3063599.004784	0.0
408	8	1	2005790.0102869999	0.0
416	8	1	3261776.040091	0.0
424	8	1	4273569.018096	0.0
432	8	1	4401680.017952	0.0
440	8	2	4401680.017952	441.085973629
448	8	1	4442441.007198	0.0
456	8	1	4591713.005442	0.0
464	8	1	2503517.0084470003	0.0
472	6	-2	n/a	0.0
