onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	1833805.012464	n01833805_12464	12	92	n/a
40	8	1	2084071.030865	n02084071_30865	22	175	n/a
48	8	1	1664990.013731	n01664990_13731	4	26	n/a
56	8	1	1963571.007996	n01963571_7996	16	128	n/a
64	8	1	3209910.003841	n03209910_3841	61	486	n/a
72	8	1	3665924.052000	n03665924_52000	90	718	n/a
80	8	1	1726692.021053	n01726692_21053	6	42	n/a
88	8	1	4233124.014573	n04233124_14573	118	939	n/a
96	8	1	2808440.019589	n02808440_19589	46	363	n/a
104	8	1	2346627.002234	n02346627_2234	29	230	n/a
112	8	1	2882647.007150	n02882647_7150	50	400	n/a
120	8	1	2802215.026105	n02802215_26105	45	357	n/a
128	8	1	2800213.015518	n02800213_15518	44	347	n/a
136	8	2	2800213.015518	n02800213_15518	44	347	137.047232
144	8	1	2998003.003934	n02998003_3934	54	427	n/a
152	8	1	2692877.017833	n02692877_17833	40	317	n/a
160	8	1	4482393.013270	n04482393_13270	137	1089	n/a
168	8	1	1770393.012152	n01770393_12152	8	58	n/a
176	8	1	3467796.008303	n03467796_8303	73	583	n/a
184	8	1	2432983.018327	n02432983_18327	32	251	n/a
192	8	1	2054036.005709	n02054036_5709	19	150	n/a
200	8	1	4254680.000043	n04254680_43	119	952	n/a
208	8	1	3400231.018679	n03400231_18679	69	546	n/a
216	8	2	3400231.018679	n03400231_18679	69	546	217.043089
224	8	1	3512147.047076	n03512147_47076	78	621	n/a
232	8	1	4284002.015310	n04284002_15310	123	981	n/a
240	8	1	2766534.000137	n02766534_137	41	323	n/a
248	8	1	7756951.013102	n07756951_13102	145	1153	n/a
256	8	2	7756951.013102	n07756951_13102	145	1153	257.041030
264	8	1	3085013.022686	n03085013_22686	58	459	n/a
272	8	1	3760671.012018	n03760671_12018	94	746	n/a
280	8	1	3950228.016044	n03950228_16044	103	817	n/a
288	8	1	4442312.011854	n04442312_11854	134	1066	n/a
296	8	1	1784675.022328	n01784675_22328	10	79	n/a
304	8	1	3721384.018162	n03721384_18162	91	722	n/a
312	8	1	3790512.040609	n03790512_40609	95	759	n/a
320	8	1	4113406.025414	n04113406_25414	110	878	n/a
328	8	1	3646296.007798	n03646296_7798	88	703	n/a
336	8	2	3646296.007798	n03646296_7798	88	703	337.036609
344	8	1	4272054.029465	n04272054_29465	121	963	n/a
352	8	1	4255586.000449	n04255586_449	120	957	n/a
360	8	1	2974003.009408	n02974003_9408	53	424	n/a
368	8	1	3623556.005157	n03623556_5157	86	685	n/a
376	8	1	3436182.007185	n03436182_7185	71	567	n/a
384	8	1	4044716.008619	n04044716_8619	106	848	n/a
392	8	1	2439033.014148	n02439033_14148	33	258	n/a
400	8	1	3543603.002363	n03543603_2363	80	634	n/a
408	8	1	3544143.018625	n03544143_18625	81	644	n/a
416	8	1	2391049.006026	n02391049_6026	31	246	n/a
424	8	1	1970164.030734	n01970164_30734	17	136	n/a
432	8	2	1970164.030734	n01970164_30734	17	136	433.031521
440	8	1	3496296.014114	n03496296_14114	77	612	n/a
448	8	1	2236241.006815	n02236241_6815	27	214	n/a
456	8	1	4612026.000770	n04612026_770	142	1135	n/a
464	8	1	2480855.009990	n02480855_9990	36	288	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
