onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3626115.019498	n03626115_19498	35	35	n/a
40	8	1	4297750.025624	n04297750_25624	45	45	n/a
48	8	1	3767745.000109	n03767745_109	39	39	n/a
56	8	1	2128385.020264	n02128385_20264	9	9	n/a
64	8	1	2797295.015411	n02797295_15411	17	17	n/a
72	8	1	4533802.019479	n04533802_19479	48	48	n/a
80	8	2	4533802.019479	n04533802_19479	48	48	81.032817
88	8	1	3064758.038750	n03064758_38750	23	23	n/a
96	8	1	3237416.058334	n03237416_58334	26	26	n/a
104	8	1	4210120.009062	n04210120_9062	42	42	n/a
112	8	1	1976957.013223	n01976957_13223	7	7	n/a
120	8	1	3954393.010038	n03954393_10038	41	41	n/a
128	8	1	3455488.028622	n03455488_28622	31	31	n/a
136	8	1	3272010.011001	n03272010_11001	27	27	n/a
144	8	1	4572121.003262	n04572121_3262	50	50	n/a
152	8	1	2071294.046212	n02071294_46212	8	8	n/a
160	8	1	2190790.015121	n02190790_15121	11	11	n/a
168	8	1	2916179.024850	n02916179_24850	20	20	n/a
176	8	1	2274259.024319	n02274259_24319	12	12	n/a
184	8	1	2882301.014188	n02882301_14188	19	19	n/a
192	8	1	3941684.021672	n03941684_21672	40	40	n/a
200	8	1	4387400.016693	n04387400_16693	46	46	n/a
208	8	1	2139199.010398	n02139199_10398	10	10	n/a
216	8	1	3761084.043533	n03761084_43533	38	38	n/a
224	8	1	1621127.019020	n01621127_19020	2	2	n/a
232	8	2	1621127.019020	n01621127_19020	2	2	233.026383
240	8	1	4254777.016338	n04254777_16338	44	44	n/a
248	8	1	3584254.005040	n03584254_5040	34	34	n/a
256	8	1	1943899.024131	n01943899_24131	6	6	n/a
264	8	1	3345837.012501	n03345837_12501	28	28	n/a
272	8	1	3452741.024622	n03452741_24622	30	30	n/a
280	8	1	3716966.028524	n03716966_28524	37	37	n/a
288	8	1	2437971.005013	n02437971_5013	15	15	n/a
296	8	1	1858441.011077	n01858441_11077	5	5	n/a
304	8	1	2437136.012836	n02437136_12836	14	14	n/a
312	8	1	3482252.022530	n03482252_22530	32	32	n/a
320	8	1	3495258.009895	n03495258_9895	33	33	n/a
328	8	2	3495258.009895	n03495258_9895	33	33	329.085616
336	8	1	2950256.022949	n02950256_22949	21	21	n/a
344	8	1	2824058.018729	n02824058_18729	18	18	n/a
352	8	1	3122295.031279	n03122295_31279	24	24	n/a
360	8	1	3710193.022225	n03710193_22225	36	36	n/a
368	8	2	3710193.022225	n03710193_22225	36	36	369.036156
376	8	1	1677366.018182	n01677366_18182	3	3	n/a
384	8	1	2690373.007713	n02690373_7713	16	16	n/a
392	8	2	2690373.007713	n02690373_7713	16	16	393.034523
400	8	1	4507155.021299	n04507155_21299	47	47	n/a
408	8	1	4252077.010859	n04252077_10859	43	43	n/a
416	8	1	2416519.012793	n02416519_12793	13	13	n/a
424	8	1	1443537.022563	n01443537_22563	1	1	n/a
432	8	1	2951358.023759	n02951358_23759	22	22	n/a
440	8	1	3379051.008496	n03379051_8496	29	29	n/a
448	8	1	3124170.013920	n03124170_13920	25	25	n/a
456	8	1	4554684.053399	n04554684_53399	49	49	n/a
464	8	1	1846331.017038	n01846331_17038	4	4	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
