onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	4482393.014854	0.0
40	8	1	2998003.002616	0.0
48	8	1	3665924.026158	0.0
56	8	1	2802215.026105	0.0
64	8	1	12582231.021170	0.0
72	8	1	2084071.014426	0.0
80	8	1	4273569.018096	0.0
88	8	1	13111881.028475	0.0
96	8	1	1645776.010758	0.0
104	8	1	4009552.017201	0.0
112	8	1	7734017.004118	0.0
120	8	2	7734017.004118	121.039482223
128	8	1	2317335.017604	0.0
136	8	1	2799175.015265	0.0
144	8	1	3359137.044522	0.0
152	8	1	4612026.006008	0.0
160	8	1	3085013.022686	0.0
168	8	1	3345487.011865	0.0
176	8	1	1970164.023221	0.0
184	8	1	2503517.008447	0.0
192	8	2	2503517.008447	193.036483544
200	8	1	4168199.010150	0.0
208	8	1	3743279.007634	0.0
216	8	1	3436182.012210	0.0
224	8	1	3815615.008756	0.0
232	8	1	3982430.006951	0.0
240	8	1	4442441.007198	0.0
248	8	1	1833805.013294	0.0
256	8	1	1944390.019503	0.0
264	8	2	1944390.019503	265.033182238
272	8	1	3496296.010113	0.0
280	8	1	4401680.017952	0.0
288	8	1	4409806.013419	0.0
296	8	1	3209910.003841	0.0
304	8	2	3209910.003841	305.030553713
312	8	1	1726692.008404	0.0
320	8	1	1787835.013550	0.0
328	8	1	2068974.007285	0.0
336	8	1	3261776.040091	0.0
344	8	1	3793489.001565	0.0
352	8	1	2480855.008638	0.0
360	8	1	2692877.011314	0.0
368	8	1	2346627.012197	0.0
376	8	1	4320973.014553	0.0
384	8	1	3255030.011168	0.0
392	8	1	3612010.016528	0.0
400	8	1	4070727.018299	0.0
408	8	1	4591713.005442	0.0
416	8	1	3543603.006861	0.0
424	8	1	2374451.015307	0.0
432	8	1	3063599.004784	0.0
440	8	2	3063599.004784	441.337202436
448	8	1	2005790.010287	0.0
456	8	1	4254680.003842	0.0
464	8	1	7758680.012418	0.0
472	6	-2	n/a	0
