onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	1772222.016161	0.0
40	8	1	2090827.017605	0.0
48	8	1	1855672.015809	0.0
56	8	1	3345487.008958	0.0
64	8	1	2481823.008477	0.0
72	8	1	4497801.003101	0.0
80	8	1	4320973.010759	0.0
88	8	1	4090263.006394	0.0
96	8	1	2800213.011791	0.0
104	8	1	4254680.010170	0.0
112	8	1	3085013.023944	0.0
120	8	1	1784675.013237	0.0
128	8	2	1784675.013237	129.039222865
136	8	1	4255586.004487	0.0
144	8	1	3496296.012686	0.0
152	8	1	3079230.020064	0.0
160	8	1	3815615.005104	0.0
168	8	1	7734744.005653	0.0
176	8	1	2885462.019412	0.0
184	8	1	2131653.012495	0.0
192	8	1	3335030.018236	0.0
200	8	1	1645776.008522	0.0
208	8	1	12596148.006943	0.0
216	8	1	4168199.009862	0.0
224	8	1	3793489.011217	0.0
232	8	1	1877134.008213	0.0
240	8	1	13111881.015726	0.0
248	8	1	4373894.031776	0.0
256	8	1	4233124.018339	0.0
264	8	2	4233124.018339	265.049605283
272	8	1	1770393.029944	0.0
280	8	1	4044716.013601	0.0
288	8	1	3544143.011110	0.0
296	8	1	3261776.024181	0.0
304	8	2	3261776.024181	305.047716221
312	8	1	3038480.006604	0.0
320	8	1	3494278.040471	0.0
328	8	2	3494278.040471	329.046361396
336	8	1	3359137.016646	0.0
344	8	1	4555897.007654	0.0
352	8	1	4419073.021368	0.0
360	8	1	4409515.006804	0.0
368	8	1	2769748.015626	0.0
376	8	1	3483823.005222	0.0
384	8	1	4070727.016664	0.0
392	8	1	2882647.020819	0.0
400	8	1	2802215.004806	0.0
408	8	1	3760671.010975	0.0
416	8	1	4272054.061432	0.0
424	8	1	3543603.007440	0.0
432	8	1	3609235.010979	0.0
440	8	1	2055803.005499	0.0
448	8	1	1833805.012045	0.0
456	8	1	2998003.001995	0.0
464	8	2	2998003.001995	465.305899673
472	6	-2	n/a	0
