onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	32	1	-1	n/a	n/a	n/a
32.0	4.0	2.0	1.0	3.0	44.9027826092	3.0
36.0	8.0	2.0	2.0	3.0	44.9027826092	3.0
44.0	3.0	2.0	3.0	3.0	44.9027826092	3.0
47.0	1.0	2.0	4.0	3.0	44.9027826092	3.0
48.0	4.0	3.0	1.0	17.0	61.1165362671	3.0
52.0	8.0	3.0	2.0	17.0	61.1165362671	3.0
60.0	3.0	3.0	3.0	17.0	61.1165362671	3.0
63.0	1.0	3.0	4.0	17.0	61.1165362671	3.0
64.0	4.0	4.0	1.0	26.0	77.3655616269	3.0
68.0	8.0	4.0	2.0	26.0	77.3655616269	3.0
76.0	3.0	4.0	3.0	26.0	77.3655616269	3.0
79.0	1.0	4.0	4.0	26.0	77.3655616269	3.0
80.0	4.0	5.0	1.0	7.0	92.8642917322	3.0
84.0	8.0	5.0	2.0	7.0	92.8642917322	3.0
92.0	3.0	5.0	3.0	7.0	92.8642917322	3.0
95.0	1.0	5.0	4.0	7.0	92.8642917322	3.0
96.0	4.0	6.0	1.0	11.0	108.054993187	4.0
100.0	8.0	6.0	2.0	11.0	108.054993187	4.0
108.0	3.0	6.0	3.0	11.0	108.054993187	4.0
111.0	1.0	6.0	4.0	11.0	108.054993187	4.0
112.0	4.0	7.0	1.0	24.0	125.26663896	3.0
116.0	8.0	7.0	2.0	24.0	125.26663896	3.0
124.0	3.0	7.0	3.0	24.0	125.26663896	3.0
127.0	1.0	7.0	4.0	24.0	125.26663896	3.0
128.0	4.0	8.0	1.0	12.0	140.776375713	3.0
132.0	8.0	8.0	2.0	12.0	140.776375713	3.0
140.0	3.0	8.0	3.0	12.0	140.776375713	3.0
143.0	1.0	8.0	4.0	12.0	140.776375713	3.0
144.0	4.0	9.0	1.0	25.0	156.993182975	3.0
148.0	8.0	9.0	2.0	25.0	156.993182975	3.0
156.0	3.0	9.0	3.0	25.0	156.993182975	3.0
159.0	1.0	9.0	4.0	25.0	156.993182975	3.0
160.0	4.0	10.0	1.0	9.0	174.092792773	3.0
164.0	8.0	10.0	2.0	9.0	174.092792773	3.0
172.0	3.0	10.0	3.0	9.0	174.092792773	3.0
175.0	1.0	10.0	4.0	9.0	174.092792773	3.0
176.0	4.0	11.0	1.0	23.0	189.878403965	3.0
180.0	8.0	11.0	2.0	23.0	189.878403965	3.0
188.0	3.0	11.0	3.0	23.0	189.878403965	3.0
191.0	1.0	11.0	4.0	23.0	189.878403965	3.0
