onset	duration	trial_no	event_type	category_id	response_time	evaluation
0	32	1	-1	n/a	n/a	n/a
32.0	4.0	2.0	1.0	2.0	45.0329069477	4.0
36.0	8.0	2.0	2.0	2.0	45.0329069477	4.0
44.0	3.0	2.0	3.0	2.0	45.0329069477	4.0
47.0	1.0	2.0	4.0	2.0	45.0329069477	4.0
48.0	4.0	3.0	1.0	16.0	61.632851243	5.0
52.0	8.0	3.0	2.0	16.0	61.632851243	5.0
60.0	3.0	3.0	3.0	16.0	61.632851243	5.0
63.0	1.0	3.0	4.0	16.0	61.632851243	5.0
64.0	4.0	4.0	1.0	11.0	77.0469673187	4.0
68.0	8.0	4.0	2.0	11.0	77.0469673187	4.0
76.0	3.0	4.0	3.0	11.0	77.0469673187	4.0
79.0	1.0	4.0	4.0	11.0	77.0469673187	4.0
80.0	4.0	5.0	1.0	19.0	94.897056072	3.0
84.0	8.0	5.0	2.0	19.0	94.897056072	3.0
92.0	3.0	5.0	3.0	19.0	94.897056072	3.0
95.0	1.0	5.0	4.0	19.0	94.897056072	3.0
96.0	4.0	6.0	1.0	10.0	110.096977569	4.0
100.0	8.0	6.0	2.0	10.0	110.096977569	4.0
108.0	3.0	6.0	3.0	10.0	110.096977569	4.0
111.0	1.0	6.0	4.0	10.0	110.096977569	4.0
112.0	4.0	7.0	1.0	15.0	125.163156194	4.0
116.0	8.0	7.0	2.0	15.0	125.163156194	4.0
124.0	3.0	7.0	3.0	15.0	125.163156194	4.0
127.0	1.0	7.0	4.0	15.0	125.163156194	4.0
128.0	4.0	8.0	1.0	18.0	141.076687312	3.0
132.0	8.0	8.0	2.0	18.0	141.076687312	3.0
140.0	3.0	8.0	3.0	18.0	141.076687312	3.0
143.0	1.0	8.0	4.0	18.0	141.076687312	3.0
144.0	4.0	9.0	1.0	17.0	157.342778697	3.0
148.0	8.0	9.0	2.0	17.0	157.342778697	3.0
156.0	3.0	9.0	3.0	17.0	157.342778697	3.0
159.0	1.0	9.0	4.0	17.0	157.342778697	3.0
160.0	4.0	10.0	1.0	14.0	173.04403662	4.0
164.0	8.0	10.0	2.0	14.0	173.04403662	4.0
172.0	3.0	10.0	3.0	14.0	173.04403662	4.0
175.0	1.0	10.0	4.0	14.0	173.04403662	4.0
176.0	4.0	11.0	1.0	22.0	190.111397186	5.0
