onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0.0
32	8	1	2472293.0057180002	0.0
40	8	1	1963571.007996	0.0
48	8	1	1704323.010031	0.0
56	8	1	3038480.002196	0.0
64	8	1	4419073.0089650005	0.0
72	8	1	1639765.052902	0.0
80	8	1	2090827.01348	0.0
88	8	1	4233124.014971	0.0
96	8	1	3623556.0203019995	0.0
104	8	1	4284002.01466	0.0
112	8	1	3445777.0083129997	0.0
120	8	1	3721384.0285610002	0.0
128	8	2	3721384.0285610002	129.03407387299998
136	8	1	4398044.031041	0.0
144	8	1	4113406.019025	0.0
152	8	1	1664990.013731	0.0
160	8	2	1664990.013731	161.032495141
168	8	1	2769748.0322169997	0.0
176	8	2	2769748.0322169997	178.031372618
184	8	1	3483823.006332	0.0
192	8	1	3397947.006288	0.0
200	8	1	2974003.00121	0.0
208	8	1	2055803.009018	0.0
216	8	1	3609235.0031379997	0.0
224	8	1	3467796.0083029997	0.0
232	8	1	3950228.0275330003	0.0
240	8	1	4412416.006897	0.0
248	8	1	2445715.000834	0.0
256	8	1	2481823.005715	0.0
264	8	1	1855672.0134490002	0.0
272	8	1	4442312.013627999	0.0
280	8	1	4477387.009242	0.0
288	8	1	2885462.0171689996	0.0
296	8	1	11978233.020269	0.0
304	8	1	3924679.003671	0.0
312	8	1	7734744.013894999	0.0
320	8	1	3085219.005196	0.0
328	8	1	4313503.022884	0.0
336	8	1	3792782.030141	0.0
344	8	2	3792782.030141	345.20735066199995
352	8	1	4044716.016479	0.0
360	8	1	3760671.0136589995	0.0
368	8	1	2943871.006541	0.0
376	8	1	4154565.015261	0.0
384	8	1	3512147.007137	0.0
392	8	2	3512147.007137	393.036825346
400	8	1	3425413.016822	0.0
408	8	1	2814860.03061	0.0
416	8	1	4197391.011231	0.0
424	8	1	1877134.011102	0.0
432	8	1	4555897.01351	0.0
440	8	1	2766534.013147	0.0
448	8	1	3790512.0148830004	0.0
456	8	1	3649909.01001	0.0
464	8	1	1518878.0149100001	0.0
472	6	-2	n/a	0.0
