onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	4398044.010533	n04398044_10533	1017	1017	n/a
40	8	1	4255586.002163	n04255586_2163	954	954	n/a
48	8	1	3255030.018182	n03255030_18182	491	491	n/a
56	8	2	3255030.018182	n03255030_18182	491	491	57.039997
64	8	1	4442312.015619	n04442312_15619	1068	1068	n/a
72	8	2	4442312.015619	n04442312_15619	1068	1068	73.042288
80	8	1	3649909.011709	n03649909_11709	706	706	n/a
88	8	1	3543603.005942	n03543603_5942	636	636	n/a
96	8	1	4272054.048893	n04272054_48893	965	965	n/a
104	8	1	4482393.013270	n04482393_13270	1089	1089	n/a
112	8	1	2346627.017176	n02346627_17176	228	228	n/a
120	8	1	3642806.021320	n03642806_21320	693	693	n/a
128	8	1	2882647.020819	n02882647_20819	397	397	n/a
136	8	1	3063599.004360	n03063599_4360	446	446	n/a
144	8	1	2799175.013505	n02799175_13505	338	338	n/a
152	8	1	3394916.030808	n03394916_30808	532	532	n/a
160	8	1	2226429.015538	n02226429_15538	197	197	n/a
168	8	1	2814860.016731	n02814860_16731	370	370	n/a
176	8	1	3038480.001066	n03038480_1066	433	433	n/a
184	8	1	3612010.016528	n03612010_16528	675	675	n/a
192	8	1	3467796.008303	n03467796_8303	583	583	n/a
200	8	1	4591713.005442	n04591713_5442	1125	1125	n/a
208	8	1	4587559.010400	n04587559_10400	1113	1113	n/a
216	8	1	3609235.003138	n03609235_3138	667	667	n/a
224	8	1	4477387.007585	n04477387_7585	1086	1086	n/a
232	8	1	3544143.004767	n03544143_4767	646	646	n/a
240	8	1	1784675.014624	n01784675_14624	74	74	n/a
248	8	1	4086273.010362	n04086273_10362	857	857	n/a
256	8	1	3623556.012791	n03623556_12791	681	681	n/a
264	8	1	1772222.012347	n01772222_12347	69	69	n/a
272	8	1	3886762.011269	n03886762_11269	794	794	n/a
280	8	1	4070727.013150	n04070727_13150	849	849	n/a
288	8	1	1639765.037122	n01639765_37122	11	11	n/a
296	8	1	4044716.016479	n04044716_16479	844	844	n/a
304	8	1	2769748.026776	n02769748_26776	331	331	n/a
312	8	2	2769748.026776	n02769748_26776	331	331	313.048024
320	8	1	2445715.003558	n02445715_3558	270	270	n/a
328	8	1	3436182.009434	n03436182_9434	568	568	n/a
336	8	1	3760671.007895	n03760671_7895	750	750	n/a
344	8	1	2974003.002406	n02974003_2406	418	418	n/a
352	8	1	2317335.020064	n02317335_20064	220	220	n/a
360	8	1	3793489.007412	n03793489_7412	775	775	n/a
368	8	2	3793489.007412	n03793489_7412	775	775	369.051115
376	8	1	2802215.013634	n02802215_13634	353	353	n/a
384	8	1	13111881.010917	n13111881_10917	1193	1193	n/a
392	8	1	2432983.018327	n02432983_18327	251	251	n/a
400	8	1	11978233.028156	n11978233_28156	1174	1174	n/a
408	8	2	11978233.028156	n11978233_28156	1174	1174	409.039108
416	8	1	4313503.025193	n04313503_25193	992	992	n/a
424	8	1	1963571.005610	n01963571_5610	127	127	n/a
432	8	1	2236241.005223	n02236241_5223	212	212	n/a
440	8	1	4180888.004080	n04180888_4080	917	917	n/a
448	8	1	4409515.001600	n04409515_1600	1034	1034	n/a
456	8	1	2508213.013042	n02508213_13042	307	307	n/a
464	8	1	2766534.015976	n02766534_15976	324	324	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
