onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	12	1	6	letter_black_img025_O	6	6	n/a
44	12	-3	n/a	n/a	n/a	n/a	n/a
56	12	1	10	letter_black_img031_U	10	10	n/a
68	12	-3	n/a	n/a	n/a	n/a	n/a
80	12	1	9	letter_black_img030_T	9	9	n/a
92	12	-3	n/a	n/a	n/a	n/a	n/a
104	12	1	2	letter_black_img013_C	2	2	n/a
116	12	-3	n/a	n/a	n/a	n/a	n/a
128	12	1	4	letter_black_img019_I	4	4	n/a
140	12	-3	n/a	n/a	n/a	n/a	n/a
152	12	1	8	letter_black_img029_S	8	8	n/a
164	12	-3	n/a	n/a	n/a	n/a	n/a
176	12	1	1	letter_black_img011_A	1	1	n/a
188	12	-3	n/a	n/a	n/a	n/a	n/a
200	12	2	1	letter_black_img011_A	1	1	201.155076
212	12	-3	n/a	n/a	n/a	n/a	n/a
224	12	1	3	letter_black_img015_E	3	3	n/a
236	12	-3	n/a	n/a	n/a	n/a	n/a
248	12	1	7	letter_black_img028_R	7	7	n/a
260	12	-3	n/a	n/a	n/a	n/a	n/a
272	12	1	5	letter_black_img024_N	5	5	n/a
284	12	-3	n/a	n/a	n/a	n/a	n/a
296	6	-2	n/a	n/a	n/a	n/a	n/a
