onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3793489.005265	n03793489_5265	774	774	n/a
40	8	1	3445777.010782	n03445777_10782	570	570	n/a
48	8	1	3261776.040091	n03261776_40091	504	504	n/a
56	8	1	3063599.004177	n03063599_4177	445	445	n/a
64	8	1	3924679.003671	n03924679_3671	812	812	n/a
72	8	1	7734744.006229	n07734744_6229	1149	1149	n/a
80	8	1	4482393.018295	n04482393_18295	1092	1092	n/a
88	8	1	4409806.007672	n04409806_7672	1046	1046	n/a
96	8	2	4409806.007672	n04409806_7672	1046	1046	97.033819
104	8	1	2236241.014526	n02236241_14526	210	210	n/a
112	8	1	4225987.007933	n04225987_7933	936	936	n/a
120	8	1	2391049.002286	n02391049_2286	242	242	n/a
128	8	1	4070727.018299	n04070727_18299	851	851	n/a
136	8	1	4320973.010759	n04320973_10759	993	993	n/a
144	8	1	4154565.015261	n04154565_15261	900	900	n/a
152	8	1	3607659.003955	n03607659_3955	659	659	n/a
160	8	1	4255586.004487	n04255586_4487	956	956	n/a
168	8	1	4555897.030092	n04555897_30092	1109	1109	n/a
176	8	1	2998003.007158	n02998003_7158	432	432	n/a
184	8	1	4090263.010441	n04090263_10441	865	865	n/a
192	8	1	4113406.019025	n04113406_19025	875	875	n/a
200	8	2	4113406.019025	n04113406_19025	875	875	202.060889
208	8	1	3079230.016134	n03079230_16134	450	450	n/a
216	8	1	4284002.018325	n04284002_18325	982	982	n/a
224	8	1	3623556.005157	n03623556_5157	685	685	n/a
232	8	1	3612010.002887	n03612010_2887	676	676	n/a
240	8	1	2472293.005718	n02472293_5718	280	280	n/a
248	8	1	4587559.011491	n04587559_11491	1114	1114	n/a
256	8	1	12582231.021170	n12582231_21170	1179	1179	n/a
264	8	1	4180888.003216	n04180888_3216	916	916	n/a
272	8	1	2054036.015344	n02054036_15344	146	146	n/a
280	8	1	4044716.006288	n04044716_6288	846	846	n/a
288	8	1	3187595.005735	n03187595_5735	475	475	n/a
296	8	2	3187595.005735	n03187595_5735	475	475	298.040026
304	8	1	2226429.013460	n02226429_13460	195	195	n/a
312	8	1	4409515.011072	n04409515_11072	1033	1033	n/a
320	8	1	1704323.009812	n01704323_9812	40	40	n/a
328	8	1	2841315.035046	n02841315_35046	384	384	n/a
336	8	1	4591713.005928	n04591713_5928	1126	1126	n/a
344	8	1	7758680.015982	n07758680_15982	1165	1165	n/a
352	8	1	12596148.009625	n12596148_9625	1192	1192	n/a
360	8	1	4442312.032591	n04442312_32591	1072	1072	n/a
368	8	1	3543603.006861	n03543603_6861	637	637	n/a
376	8	1	3085013.024642	n03085013_24642	464	464	n/a
384	8	1	3982430.037727	n03982430_37727	829	829	n/a
392	8	1	2766534.010312	n02766534_10312	321	321	n/a
400	8	2	2766534.010312	n02766534_10312	321	321	401.036495
408	8	1	1770393.018012	n01770393_18012	60	60	n/a
416	8	1	7734017.018410	n07734017_18410	1139	1139	n/a
424	8	1	2802215.026105	n02802215_26105	357	357	n/a
432	8	2	2802215.026105	n02802215_26105	357	357	433.033758
440	8	1	4086273.022571	n04086273_22571	860	860	n/a
448	8	1	1768244.007012	n01768244_7012	52	52	n/a
456	8	1	1518878.007579	n01518878_7579	7	7	n/a
464	8	1	3394916.019217	n03394916_19217	529	529	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
