onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3790512.013675	n03790512_13675	755	755	n/a
40	8	1	2068974.004884	n02068974_4884	166	166	n/a
48	8	1	3467796.003445	n03467796_3445	578	578	n/a
56	8	1	3187595.017111	n03187595_17111	473	473	n/a
64	8	1	1970164.012603	n01970164_12603	129	129	n/a
72	8	1	4225987.013452	n04225987_13452	930	930	n/a
80	8	2	4225987.013452	n04225987_13452	930	930	81.071247
88	8	1	3079230.008270	n03079230_8270	456	456	n/a
96	8	1	1772222.012605	n01772222_12605	70	70	n/a
104	8	1	2799175.007198	n02799175_7198	343	343	n/a
112	8	1	3924679.002394	n03924679_2394	811	811	n/a
120	8	1	2439033.009911	n02439033_9911	264	264	n/a
128	8	1	1518878.005958	n01518878_5958	5	5	n/a
136	8	1	2226429.017436	n02226429_17436	199	199	n/a
144	8	1	4482393.019492	n04482393_19492	1093	1093	n/a
152	8	1	3472535.008251	n03472535_8251	592	592	n/a
160	8	1	7734744.005653	n07734744_5653	1148	1148	n/a
168	8	1	4086273.012913	n04086273_12913	858	858	n/a
176	8	1	4412416.014153	n04412416_14153	1052	1052	n/a
184	8	1	2084071.034874	n02084071_34874	176	176	n/a
192	8	1	4555897.039418	n04555897_39418	1110	1110	n/a
200	8	1	4442441.004452	n04442441_4452	1075	1075	n/a
208	8	1	13111881.006054	n13111881_6054	1197	1197	n/a
216	8	1	2808440.033372	n02808440_33372	364	364	n/a
224	8	1	3335030.041914	n03335030_41914	511	511	n/a
232	8	2	3335030.041914	n03335030_41914	511	511	233.031550
240	8	1	4320973.014553	n04320973_14553	995	995	n/a
248	8	1	4419073.011195	n04419073_11195	1057	1057	n/a
256	8	1	4168199.009862	n04168199_9862	912	912	n/a
264	8	1	3345487.004927	n03345487_4927	517	517	n/a
272	8	1	4398044.035327	n04398044_35327	1024	1024	n/a
280	8	1	3085219.006529	n03085219_6529	470	470	n/a
288	8	1	3445777.009159	n03445777_9159	575	575	n/a
296	8	1	4442312.032591	n04442312_32591	1072	1072	n/a
304	8	1	4497801.008739	n04497801_8739	1104	1104	n/a
312	8	1	2503517.004892	n02503517_4892	300	300	n/a
320	8	1	3607659.003955	n03607659_3955	659	659	n/a
328	8	2	3607659.003955	n03607659_3955	659	659	329.026154
336	8	1	3982430.021511	n03982430_21511	826	826	n/a
344	8	1	2769748.033148	n02769748_33148	333	333	n/a
352	8	1	3746005.005789	n03746005_5789	740	740	n/a
360	8	1	2233338.006133	n02233338_6133	207	207	n/a
368	8	2	2233338.006133	n02233338_6133	207	207	369.141062
376	8	1	3209910.008951	n03209910_8951	488	488	n/a
384	8	1	3494278.029023	n03494278_29023	603	603	n/a
392	8	2	3494278.029023	n03494278_29023	603	603	393.039817
400	8	1	3721384.005136	n03721384_5136	727	727	n/a
408	8	1	3815615.008756	n03815615_8756	784	784	n/a
416	8	1	3918737.008191	n03918737_8191	808	808	n/a
424	8	1	2346627.012197	n02346627_12197	226	226	n/a
432	8	1	2005790.011191	n02005790_11191	138	138	n/a
440	8	1	3397947.001926	n03397947_1926	538	538	n/a
448	8	1	3085013.021300	n03085013_21300	458	458	n/a
456	8	1	11978233.041489	n11978233_41489	1175	1175	n/a
464	8	1	2882647.020819	n02882647_20819	397	397	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
