onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	3950228.039297	0.0
40	8	1	1645776.010758	0.0
48	8	1	2005790.007527	0.0
56	8	2	2005790.007527	57.0324546685
64	8	1	2503517.003324	0.0
72	8	1	4376876.010606	0.0
80	8	1	4412416.012151	0.0
88	8	1	4401680.028024	0.0
96	8	1	4009552.007141	0.0
104	8	1	2998003.003934	0.0
112	8	1	3649909.010010	0.0
120	8	1	2974003.008115	0.0
128	8	1	4168199.009781	0.0
136	8	1	4197391.004733	0.0
144	8	1	1768244.008871	0.0
152	8	1	4146614.007893	0.0
160	8	1	2814860.030610	0.0
168	8	1	2068974.004884	0.0
176	8	1	4180888.002422	0.0
184	8	1	2799175.015265	0.0
192	8	1	3079230.013074	0.0
200	8	2	3079230.013074	201.026033889
208	8	1	7758680.022370	0.0
216	8	2	7758680.022370	217.190471481
224	8	1	3512147.002038	0.0
232	8	1	2054036.007221	0.0
240	8	1	2885462.009267	0.0
248	8	1	3609235.004455	0.0
256	8	1	3543603.009964	0.0
264	8	1	3607659.008657	0.0
272	8	1	3209910.029141	0.0
280	8	1	2236241.001360	0.0
288	8	1	3665924.037592	0.0
296	8	1	4419073.011767	0.0
304	8	1	3541923.004374	0.0
312	8	1	3612010.010712	0.0
320	8	1	4612026.010008	0.0
328	8	1	3085219.008998	0.0
336	8	1	4555897.026505	0.0
344	8	1	1518878.012028	0.0
352	8	2	1518878.012028	353.200414689
360	8	1	4090263.024512	0.0
368	8	1	2802215.004806	0.0
376	8	1	3483823.015156	0.0
384	8	1	2317335.024617	0.0
392	8	1	4313503.020808	0.0
400	8	1	3837869.004261	0.0
408	8	2	3837869.004261	409.03167943
416	8	1	1770393.024657	0.0
424	8	1	4070727.016664	0.0
432	8	1	12582231.024598	0.0
440	8	1	7756951.015064	0.0
448	8	1	4373894.043971	0.0
456	8	1	1855672.015767	0.0
464	8	1	4442312.011854	0.0
472	6	-2	n/a	0
