onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0.0	32.0	1.0	-1	n/a	n/a	n/a	n/a	n/a
32.0	4.0	2.0	1	2690373	n02690373	16	46.602745	5.0
36.0	8.0	2.0	2	2690373	n02690373	16	46.602745	5.0
44.0	3.0	2.0	3	2690373	n02690373	16	46.602745	5.0
47.0	1.0	2.0	4	2690373	n02690373	16	46.602745	5.0
48.0	4.0	3.0	1	2437136	n02437136	14	60.054906	3.0
52.0	8.0	3.0	2	2437136	n02437136	14	60.054906	3.0
60.0	3.0	3.0	3	2437136	n02437136	14	60.054906	3.0
63.0	1.0	3.0	4	2437136	n02437136	14	60.054906	3.0
64.0	4.0	4.0	1	1443537	n01443537	1	78.649782	2.0
68.0	8.0	4.0	2	1443537	n01443537	1	78.649782	2.0
76.0	3.0	4.0	3	1443537	n01443537	1	78.649782	2.0
79.0	1.0	4.0	4	1443537	n01443537	1	78.649782	2.0
80.0	4.0	5.0	1	2950256	n02950256	21	94.131113	4.0
84.0	8.0	5.0	2	2950256	n02950256	21	94.131113	4.0
92.0	3.0	5.0	3	2950256	n02950256	21	94.131113	4.0
95.0	1.0	5.0	4	2950256	n02950256	21	94.131113	4.0
96.0	4.0	6.0	1	3122295	n03122295	24	n/a	5.0
100.0	8.0	6.0	2	3122295	n03122295	24	n/a	5.0
108.0	3.0	6.0	3	3122295	n03122295	24	n/a	5.0
111.0	1.0	6.0	4	3122295	n03122295	24	n/a	5.0
112.0	4.0	7.0	1	1621127	n01621127	2	125.664131	4.0
116.0	8.0	7.0	2	1621127	n01621127	2	125.664131	4.0
124.0	3.0	7.0	3	1621127	n01621127	2	125.664131	4.0
127.0	1.0	7.0	4	1621127	n01621127	2	125.664131	4.0
128.0	4.0	8.0	1	2437971	n02437971	15	141.277196	3.0
132.0	8.0	8.0	2	2437971	n02437971	15	141.277196	3.0
140.0	3.0	8.0	3	2437971	n02437971	15	141.277196	3.0
143.0	1.0	8.0	4	2437971	n02437971	15	141.277196	3.0
144.0	4.0	9.0	1	3237416	n03237416	26	157.076463	3.0
148.0	8.0	9.0	2	3237416	n03237416	26	157.076463	3.0
156.0	3.0	9.0	3	3237416	n03237416	26	157.076463	3.0
159.0	1.0	9.0	4	3237416	n03237416	26	157.076463	3.0
160.0	4.0	10.0	1	2882301	n02882301	19	n/a	4.0
164.0	8.0	10.0	2	2882301	n02882301	19	n/a	4.0
172.0	3.0	10.0	3	2882301	n02882301	19	n/a	4.0
175.0	1.0	10.0	4	2882301	n02882301	19	n/a	4.0
176.0	4.0	11.0	1	2951358	n02951358	22	189.209206	4.0
180.0	8.0	11.0	2	2951358	n02951358	22	189.209206	4.0
188.0	3.0	11.0	3	2951358	n02951358	22	189.209206	4.0
191.0	1.0	11.0	4	2951358	n02951358	22	189.209206	4.0
192.0	4.0	12.0	1	2797295	n02797295	17	206.594376	3.0
196.0	8.0	12.0	2	2797295	n02797295	17	206.594376	3.0
204.0	3.0	12.0	3	2797295	n02797295	17	206.594376	3.0
207.0	1.0	12.0	4	2797295	n02797295	17	206.594376	3.0
208.0	4.0	13.0	1	2416519	n02416519	13	221.594153	3.0
212.0	8.0	13.0	2	2416519	n02416519	13	221.594153	3.0
220.0	3.0	13.0	3	2416519	n02416519	13	221.594153	3.0
223.0	1.0	13.0	4	2416519	n02416519	13	221.594153	3.0
224.0	4.0	14.0	1	3064758	n03064758	23	n/a	3.0
228.0	8.0	14.0	2	3064758	n03064758	23	n/a	3.0
236.0	3.0	14.0	3	3064758	n03064758	23	n/a	3.0
239.0	1.0	14.0	4	3064758	n03064758	23	n/a	3.0
240.0	4.0	15.0	1	1976957	n01976957	7	254.772987	3.0
244.0	8.0	15.0	2	1976957	n01976957	7	254.772987	3.0
252.0	3.0	15.0	3	1976957	n01976957	7	254.772987	3.0
255.0	1.0	15.0	4	1976957	n01976957	7	254.772987	3.0
256.0	4.0	16.0	1	1943899	n01943899	6	268.773419	4.0
260.0	8.0	16.0	2	1943899	n01943899	6	268.773419	4.0
268.0	3.0	16.0	3	1943899	n01943899	6	268.773419	4.0
271.0	1.0	16.0	4	1943899	n01943899	6	268.773419	4.0
272.0	4.0	17.0	1	2274259	n02274259	12	285.539378	4.0
276.0	8.0	17.0	2	2274259	n02274259	12	285.539378	4.0
284.0	3.0	17.0	3	2274259	n02274259	12	285.539378	4.0
287.0	1.0	17.0	4	2274259	n02274259	12	285.539378	4.0
288.0	4.0	18.0	1	1846331	n01846331	4	n/a	4.0
292.0	8.0	18.0	2	1846331	n01846331	4	n/a	4.0
300.0	3.0	18.0	3	1846331	n01846331	4	n/a	4.0
303.0	1.0	18.0	4	1846331	n01846331	4	n/a	4.0
304.0	4.0	19.0	1	2071294	n02071294	8	317.053756	4.0
308.0	8.0	19.0	2	2071294	n02071294	8	317.053756	4.0
316.0	3.0	19.0	3	2071294	n02071294	8	317.053756	4.0
319.0	1.0	19.0	4	2071294	n02071294	8	317.053756	4.0
320.0	4.0	20.0	1	3124170	n03124170	25	333.118669	4.0
324.0	8.0	20.0	2	3124170	n03124170	25	333.118669	4.0
332.0	3.0	20.0	3	3124170	n03124170	25	333.118669	4.0
335.0	1.0	20.0	4	3124170	n03124170	25	333.118669	4.0
336.0	4.0	21.0	1	1677366	n01677366	3	350.351899	2.0
340.0	8.0	21.0	2	1677366	n01677366	3	350.351899	2.0
348.0	3.0	21.0	3	1677366	n01677366	3	350.351899	2.0
351.0	1.0	21.0	4	1677366	n01677366	3	350.351899	2.0
352.0	4.0	22.0	1	2190790	n02190790	11	364.965079	3.0
356.0	8.0	22.0	2	2190790	n02190790	11	364.965079	3.0
364.0	3.0	22.0	3	2190790	n02190790	11	364.965079	3.0
367.0	1.0	22.0	4	2190790	n02190790	11	364.965079	3.0
368.0	4.0	23.0	1	2916179	n02916179	20	382.651240	2.0
372.0	8.0	23.0	2	2916179	n02916179	20	382.651240	2.0
380.0	3.0	23.0	3	2916179	n02916179	20	382.651240	2.0
383.0	1.0	23.0	4	2916179	n02916179	20	382.651240	2.0
384.0	4.0	24.0	1	2128385	n02128385	9	397.751037	3.0
388.0	8.0	24.0	2	2128385	n02128385	9	397.751037	3.0
396.0	3.0	24.0	3	2128385	n02128385	9	397.751037	3.0
399.0	1.0	24.0	4	2128385	n02128385	9	397.751037	3.0
400.0	4.0	25.0	1	2139199	n02139199	10	412.898223	3.0
404.0	8.0	25.0	2	2139199	n02139199	10	412.898223	3.0
412.0	3.0	25.0	3	2139199	n02139199	10	412.898223	3.0
415.0	1.0	25.0	4	2139199	n02139199	10	412.898223	3.0
416.0	4.0	26.0	1	2824058	n02824058	18	n/a	3.0
420.0	8.0	26.0	2	2824058	n02824058	18	n/a	3.0
428.0	3.0	26.0	3	2824058	n02824058	18	n/a	3.0
431.0	1.0	26.0	4	2824058	n02824058	18	n/a	3.0
432.0	4.0	27.0	1	1858441	n01858441	5	446.799341	2.0
436.0	8.0	27.0	2	1858441	n01858441	5	446.799341	2.0
444.0	3.0	27.0	3	1858441	n01858441	5	446.799341	2.0
447.0	1.0	27.0	4	1858441	n01858441	5	446.799341	2.0
448.0	6.0	28.0	-2	n/a	n/a	n/a	n/a	n/a
