onset	duration	event_type	stimulus_id	response_time
0	32	-1	n/a	0
32	8	1	1970164.012603	0.0
40	8	1	4009552.005313	0.0
48	8	2	4009552.005313	49.1478376286
56	8	1	2439033.008005	0.0
64	8	1	2814860.039856	0.0
72	8	1	3646296.002966	0.0
80	8	1	2005790.011191	0.0
88	8	1	3359137.021741	0.0
96	8	1	2943871.010058	0.0
104	8	1	4398044.013032	0.0
112	8	1	1784675.013237	0.0
120	8	1	2317335.006776	0.0
128	8	1	2974003.003328	0.0
136	8	2	2974003.003328	137.027589166
144	8	1	4373894.016025	0.0
152	8	1	2346627.013993	0.0
160	8	1	3950228.027533	0.0
168	8	1	3792782.013140	0.0
176	8	1	2882647.013757	0.0
184	8	1	3918737.004580	0.0
192	8	1	3345487.015782	0.0
200	8	1	4419073.008965	0.0
208	8	1	4442441.005096	0.0
216	8	1	3837869.006421	0.0
224	8	1	1645776.010130	0.0
232	8	2	1645776.010130	233.041315651
240	8	1	2480855.016790	0.0
248	8	1	4412416.010353	0.0
256	8	1	2090827.010084	0.0
264	8	1	4477387.002204	0.0
272	8	1	3886762.014788	0.0
280	8	1	3760671.009669	0.0
288	8	1	11978233.041489	0.0
296	8	2	11978233.041489	297.036268523
304	8	1	4254680.000043	0.0
312	8	1	3746005.004198	0.0
320	8	1	2055803.009018	0.0
328	8	1	3743279.005689	0.0
336	8	2	3743279.005689	337.033558232
344	8	1	2843158.009764	0.0
352	8	1	2481823.015941	0.0
360	8	1	4313503.022884	0.0
368	8	1	1726692.031558	0.0
376	8	1	4233124.015821	0.0
384	8	1	13111881.015726	0.0
392	8	1	4123740.010780	0.0
400	8	1	3209910.005373	0.0
408	8	1	2233338.017552	0.0
416	8	1	3665924.055985	0.0
424	8	1	2508213.013464	0.0
432	8	1	1855672.015900	0.0
440	8	1	2445715.015094	0.0
448	8	1	3721384.014643	0.0
456	8	1	3400231.013472	0.0
464	8	1	3483823.006332	0.0
472	6	-2	n/a	0
