onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	2943871.009326	n02943871_9326	52	416	n/a
40	8	1	3436182.007185	n03436182_7185	71	567	n/a
48	8	1	3886762.012568	n03886762_12568	100	795	n/a
56	8	1	13111881.028475	n13111881_28475	150	1196	n/a
64	8	2	13111881.028475	n13111881_28475	150	1196	65.030769
72	8	1	4225987.006877	n04225987_6877	117	935	n/a
80	8	1	3335030.018236	n03335030_18236	64	507	n/a
88	8	2	3335030.018236	n03335030_18236	64	507	94.028019
96	8	1	4409515.003798	n04409515_3798	130	1037	n/a
104	8	1	2692877.017833	n02692877_17833	40	317	n/a
112	8	1	2084071.017818	n02084071_17818	22	170	n/a
120	8	1	2841315.014915	n02841315_14915	48	379	n/a
128	8	1	3472535.000190	n03472535_190	74	587	n/a
136	8	1	3359137.026112	n03359137_26112	66	524	n/a
144	8	1	3397947.001926	n03397947_1926	68	538	n/a
152	8	1	2472293.024267	n02472293_24267	35	276	n/a
160	8	1	2226429.014311	n02226429_14311	25	196	n/a
168	8	1	3815615.019824	n03815615_19824	98	779	n/a
176	8	1	2391049.008178	n02391049_8178	31	248	n/a
184	8	1	1963571.019866	n01963571_19866	16	125	n/a
192	8	1	3425413.021553	n03425413_21553	70	559	n/a
200	8	1	1784675.022328	n01784675_22328	10	79	n/a
208	8	1	2508213.007987	n02508213_7987	39	312	n/a
216	8	1	1726692.009090	n01726692_9090	6	48	n/a
224	8	1	3646296.005631	n03646296_5631	88	701	n/a
232	8	1	4591713.002310	n04591713_2310	141	1122	n/a
240	8	1	3602883.010003	n03602883_10003	82	649	n/a
248	8	1	4482393.013686	n04482393_13686	137	1090	n/a
256	8	1	2480855.011704	n02480855_11704	36	281	n/a
264	8	1	3394916.041444	n03394916_41444	67	535	n/a
272	8	1	2808440.015163	n02808440_15163	46	362	n/a
280	8	2	2808440.015163	n02808440_15163	46	362	281.036232
288	8	1	3918737.022699	n03918737_22699	101	805	n/a
296	8	1	2445715.012246	n02445715_12246	34	266	n/a
304	8	2	2445715.012246	n02445715_12246	34	266	305.036057
312	8	1	4272054.056965	n04272054_56965	121	967	n/a
320	8	1	1787835.012178	n01787835_12178	11	84	n/a
328	8	1	2769748.015626	n02769748_15626	42	329	n/a
336	8	1	4044716.013601	n04044716_13601	106	843	n/a
344	8	1	3467796.002261	n03467796_2261	73	577	n/a
352	8	1	4254680.002701	n04254680_2701	119	950	n/a
360	8	1	2439033.017123	n02439033_17123	33	260	n/a
368	8	1	3642806.022775	n03642806_22775	87	694	n/a
376	8	2	3642806.022775	n03642806_22775	87	694	377.029432
384	8	1	4123740.014377	n04123740_14377	111	884	n/a
392	8	1	4233124.024091	n04233124_24091	118	944	n/a
400	8	1	3793489.010094	n03793489_10094	97	769	n/a
408	8	1	1772222.012605	n01772222_12605	9	70	n/a
416	8	1	4273569.013211	n04273569_13211	122	970	n/a
424	8	1	2843158.006490	n02843158_6490	49	389	n/a
432	8	1	3924679.006907	n03924679_6907	102	814	n/a
440	8	1	12596148.007468	n12596148_7468	149	1191	n/a
448	8	1	1877134.010662	n01877134_10662	14	106	n/a
456	8	1	2131653.005107	n02131653_5107	24	190	n/a
464	8	1	2481823.018421	n02481823_18421	37	292	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
