onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3837869.005857	n03837869_5857	99	788	n/a
40	8	1	7758680.017888	n07758680_17888	146	1166	n/a
48	8	1	2974003.008812	n02974003_8812	53	423	n/a
56	8	2	2974003.008812	n02974003_8812	53	423	57.046454
64	8	1	2799175.009738	n02799175_9738	43	344	n/a
72	8	1	3261776.025824	n03261776_25824	63	500	n/a
80	8	1	3335030.021952	n03335030_21952	64	508	n/a
88	8	1	3649909.019563	n03649909_19563	89	709	n/a
96	8	1	4044716.019527	n04044716_19527	106	845	n/a
104	8	1	4113406.023511	n04113406_23511	110	877	n/a
112	8	1	3544143.001497	n03544143_1497	81	643	n/a
120	8	1	4477387.007585	n04477387_7585	136	1086	n/a
128	8	1	4373894.041541	n04373894_41541	126	1005	n/a
136	8	1	4401680.036641	n04401680_36641	129	1032	n/a
144	8	1	3792782.008413	n03792782_8413	96	768	n/a
152	8	1	1963571.019866	n01963571_19866	16	125	n/a
160	8	2	1963571.019866	n01963571_19866	16	125	161.180836
168	8	1	1664990.019923	n01664990_19923	4	30	n/a
176	8	2	1664990.019923	n01664990_19923	4	30	177.031880
184	8	1	4412416.008901	n04412416_8901	132	1056	n/a
192	8	1	2481823.015941	n02481823_15941	37	291	n/a
200	8	1	3746005.004914	n03746005_4914	93	739	n/a
208	8	1	3467796.004268	n03467796_4268	73	579	n/a
216	8	2	3467796.004268	n03467796_4268	73	579	217.285612
224	8	1	4272054.015977	n04272054_15977	121	961	n/a
232	8	1	2226429.017436	n02226429_17436	25	199	n/a
240	8	1	3436182.005137	n03436182_5137	71	566	n/a
248	8	1	3445777.006926	n03445777_6926	72	573	n/a
256	8	1	3721384.036929	n03721384_36929	91	726	n/a
264	8	1	4591713.002310	n04591713_2310	141	1122	n/a
272	8	1	3760671.006434	n03760671_6434	94	749	n/a
280	8	2	3760671.006434	n03760671_6434	94	749	281.035167
288	8	1	2391049.010452	n02391049_10452	31	241	n/a
296	8	1	2374451.011539	n02374451_11539	30	233	n/a
304	8	1	4442441.005096	n04442441_5096	135	1076	n/a
312	8	1	1704323.009812	n01704323_9812	5	40	n/a
320	8	1	3609235.003801	n03609235_3801	84	668	n/a
328	8	1	2054036.017099	n02054036_17099	19	147	n/a
336	8	1	3494278.027938	n03494278_27938	76	602	n/a
344	8	1	2692877.017833	n02692877_17833	40	317	n/a
352	8	1	4086273.003464	n04086273_3464	108	862	n/a
360	8	1	4233124.014573	n04233124_14573	118	939	n/a
368	8	1	4320973.009400	n04320973_9400	125	1000	n/a
376	8	1	2841315.024352	n02841315_24352	48	383	n/a
384	8	1	4398044.014381	n04398044_14381	128	1019	n/a
392	8	1	2802215.006616	n02802215_6616	45	359	n/a
400	8	1	3085219.004267	n03085219_4267	59	467	n/a
408	8	1	4313503.021714	n04313503_21714	124	988	n/a
416	8	1	3359137.031119	n03359137_31119	66	525	n/a
424	8	1	2472293.013453	n02472293_13453	35	275	n/a
432	8	1	2445715.005508	n02445715_5508	34	271	n/a
440	8	1	2843158.008492	n02843158_8492	49	391	n/a
448	8	1	2068974.004884	n02068974_4884	21	166	n/a
456	8	1	4197391.015574	n04197391_15574	116	923	n/a
464	8	1	4409515.002581	n04409515_2581	130	1036	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
