onset	duration	event_type	stimulus_id	stimulus_name	category_index	image_index	response_time
0	32	-1	n/a	n/a	n/a	n/a	n/a
32	8	1	3472535.008251	n03472535_8251	592	592	n/a
40	8	1	2808440.019589	n02808440_19589	363	363	n/a
48	8	2	2808440.019589	n02808440_19589	363	363	49.044882
56	8	1	2800213.003108	n02800213_3108	350	350	n/a
64	8	1	3436182.003357	n03436182_3357	565	565	n/a
72	8	1	1726692.018809	n01726692_18809	41	41	n/a
80	8	1	2055803.007345	n02055803_7345	156	156	n/a
88	8	1	1704323.005092	n01704323_5092	36	36	n/a
96	8	1	7734744.005146	n07734744_5146	1147	1147	n/a
104	8	1	3394916.019217	n03394916_19217	529	529	n/a
112	8	1	3982430.037727	n03982430_37727	829	829	n/a
120	8	1	12596148.006386	n12596148_6386	1189	1189	n/a
128	8	1	2472293.024267	n02472293_24267	276	276	n/a
136	8	2	2472293.024267	n02472293_24267	276	276	137.032027
144	8	1	4123740.013353	n04123740_13353	883	883	n/a
152	8	1	4401680.024985	n04401680_24985	1028	1028	n/a
160	8	1	4442441.007248	n04442441_7248	1080	1080	n/a
168	8	1	3646296.007798	n03646296_7798	703	703	n/a
176	8	1	3255030.007581	n03255030_7581	495	495	n/a
184	8	1	3544143.008694	n03544143_8694	648	648	n/a
192	8	1	1944390.019988	n01944390_19988	116	116	n/a
200	8	1	3467796.000862	n03467796_862	584	584	n/a
208	8	1	3642806.006122	n03642806_6122	696	696	n/a
216	8	1	4612026.000770	n04612026_770	1135	1135	n/a
224	8	1	3886762.010969	n03886762_10969	793	793	n/a
232	8	2	3886762.010969	n03886762_10969	793	793	233.044646
240	8	1	4180888.004820	n04180888_4820	918	918	n/a
248	8	1	2481823.013867	n02481823_13867	290	290	n/a
256	8	1	2445715.010261	n02445715_10261	265	265	n/a
264	8	1	1772222.012097	n01772222_12097	68	68	n/a
272	8	1	3063599.004061	n03063599_4061	444	444	n/a
280	8	1	2998003.006262	n02998003_6262	430	430	n/a
288	8	1	2391049.003228	n02391049_3228	244	244	n/a
296	8	2	2391049.003228	n02391049_3228	244	244	297.042827
304	8	1	3335030.026098	n03335030_26098	509	509	n/a
312	8	1	4070727.031219	n04070727_31219	855	855	n/a
320	8	1	1645776.009576	n01645776_9576	22	22	n/a
328	8	1	3445777.010782	n03445777_10782	570	570	n/a
336	8	2	3445777.010782	n03445777_10782	570	570	337.048107
344	8	1	2692877.010393	n02692877_10393	313	313	n/a
352	8	1	4233124.017123	n04233124_17123	942	942	n/a
360	8	1	2317335.014310	n02317335_14310	218	218	n/a
368	8	1	2084071.028249	n02084071_28249	174	174	n/a
376	8	1	4409806.005820	n04409806_5820	1045	1045	n/a
384	8	1	3623556.012791	n03623556_12791	681	681	n/a
392	8	1	3792782.016817	n03792782_16817	762	762	n/a
400	8	1	2374451.014233	n02374451_14233	235	235	n/a
408	8	1	4320973.012980	n04320973_12980	994	994	n/a
416	8	1	3425413.020014	n03425413_20014	556	556	n/a
424	8	1	4255586.000626	n04255586_626	959	959	n/a
432	8	1	1787835.012357	n01787835_12357	85	85	n/a
440	8	1	13111881.009170	n13111881_9170	1200	1200	n/a
448	8	1	4555897.030092	n04555897_30092	1109	1109	n/a
456	8	1	1639765.022407	n01639765_22407	9	9	n/a
464	8	1	2054036.012238	n02054036_12238	145	145	n/a
472	6	-2	n/a	n/a	n/a	n/a	n/a
