onset	duration	trial_no	event_type	category_id	category_name	category_index	response_time	evaluation
0.0	32.0	1.0	-1	n/a	n/a	n/a	n/a	n/a
32.0	4.0	2.0	1	2416519	n02416519	13	46.652029	2.0
36.0	8.0	2.0	2	2416519	n02416519	13	46.652029	2.0
44.0	3.0	2.0	3	2416519	n02416519	13	46.652029	2.0
47.0	1.0	2.0	4	2416519	n02416519	13	46.652029	2.0
48.0	4.0	3.0	1	3064758	n03064758	23	60.060119	3.0
52.0	8.0	3.0	2	3064758	n03064758	23	60.060119	3.0
60.0	3.0	3.0	3	3064758	n03064758	23	60.060119	3.0
63.0	1.0	3.0	4	3064758	n03064758	23	60.060119	3.0
64.0	4.0	4.0	1	2950256	n02950256	21	76.981597	4.0
68.0	8.0	4.0	2	2950256	n02950256	21	76.981597	4.0
76.0	3.0	4.0	3	2950256	n02950256	21	76.981597	4.0
79.0	1.0	4.0	4	2950256	n02950256	21	76.981597	4.0
80.0	4.0	5.0	1	2190790	n02190790	11	93.532477	4.0
84.0	8.0	5.0	2	2190790	n02190790	11	93.532477	4.0
92.0	3.0	5.0	3	2190790	n02190790	11	93.532477	4.0
95.0	1.0	5.0	4	2190790	n02190790	11	93.532477	4.0
96.0	4.0	6.0	1	3237416	n03237416	26	109.282077	3.0
100.0	8.0	6.0	2	3237416	n03237416	26	109.282077	3.0
108.0	3.0	6.0	3	3237416	n03237416	26	109.282077	3.0
111.0	1.0	6.0	4	3237416	n03237416	26	109.282077	3.0
112.0	4.0	7.0	1	1976957	n01976957	7	124.830511	3.0
116.0	8.0	7.0	2	1976957	n01976957	7	124.830511	3.0
124.0	3.0	7.0	3	1976957	n01976957	7	124.830511	3.0
127.0	1.0	7.0	4	1976957	n01976957	7	124.830511	3.0
128.0	4.0	8.0	1	2274259	n02274259	12	141.517260	3.0
132.0	8.0	8.0	2	2274259	n02274259	12	141.517260	3.0
140.0	3.0	8.0	3	2274259	n02274259	12	141.517260	3.0
143.0	1.0	8.0	4	2274259	n02274259	12	141.517260	3.0
144.0	4.0	9.0	1	2437136	n02437136	14	157.179509	4.0
148.0	8.0	9.0	2	2437136	n02437136	14	157.179509	4.0
156.0	3.0	9.0	3	2437136	n02437136	14	157.179509	4.0
159.0	1.0	9.0	4	2437136	n02437136	14	157.179509	4.0
160.0	4.0	10.0	1	3124170	n03124170	25	173.061692	3.0
164.0	8.0	10.0	2	3124170	n03124170	25	173.061692	3.0
172.0	3.0	10.0	3	3124170	n03124170	25	173.061692	3.0
175.0	1.0	10.0	4	3124170	n03124170	25	173.061692	3.0
